size,composition,median_overhead,lambda_duration,lambda_data,s3_read,s3_write,sns_data_out,dynamodb_read,dynamodb_write,sf_state_transitions,sf_express_requests,sf_express_duration,ec2,total
10000,synchronous_sequence,340,0.2570838475,0,,,,,,,,,,0.2570838475
10000,asynchronous_sequence,693,0.1394377789,0,,0.054,,,,,,,,0.1934377789
10000,routing_slip,690,0.1393752788,0,,0.054,,,,,,,,0.1933752788
10000,client_side,11,0.1252294171,0,,,,,,,,,0.2304,0.3556294171
10000,compiled,5,0.1251044169,0,,,,,,,,,,0.1251044169
10000,coordinator,245,0.2551046769,0,,,,,,,,,,0.2551046769
10000,async_coordinator,1923,0.1650628301,0,,0.054,,,,,,,,0.2190628301
10000,message_queue,749,0.1406044479,0,,0.054,0.00058347,,,,,,,0.1951879179
10000,storage_based,3490,0.1977087288,0,0.0129,0.162,,,,,,,,0.3726087288
10000,event_sourcing,2422,0.1754586843,0,,,,0.00915,0.244,,,,,0.4286086843
10000,blackboard,2000,0.166667,0,,,,0.0183,0.04575,,,,,0.230717
10000,step_functions,312,0.131500263,0,,,,,,0.5,,,,0.631500263
10000,step_functions_express,312,0.131500263,0,,,,,,,0.01,0.06668,,0.208180263
100000,synchronous_sequence,340,2.570838475,0,,,,,,,,,,2.570838475
100000,asynchronous_sequence,693,1.394377789,0,,0.54,,,,,,,,1.934377789
100000,routing_slip,690,1.393752788,0,,0.54,,,,,,,,1.933752788
100000,client_side,11,1.252294171,0,,,,,,,,,0.2304,1.482694171
100000,compiled,5,1.251044169,0,,,,,,,,,,1.251044169
100000,coordinator,245,2.551046769,0,,,,,,,,,,2.551046769
100000,async_coordinator,1923,1.650628301,0,,0.54,,,,,,,,2.190628301
100000,message_queue,749,1.406044479,0,,0.54,0.0058347,,,,,,,1.951879179
100000,storage_based,3490,1.977087288,0,0.129,1.62,,,,,,,,3.726087288
100000,event_sourcing,2422,1.754586843,0,,,,0.0915,2.44,,,,,4.286086843
100000,blackboard,2000,1.66667,0,,,,0.183,0.4575,,,,,2.30717
100000,step_functions,312,1.31500263,0,,,,,,5,,,,6.31500263
100000,step_functions_express,312,1.31500263,0,,,,,,,0.1,0.6668,,2.08180263
1000000,synchronous_sequence,340,25.70838475,0,,,,,,,,,,25.70838475
1000000,asynchronous_sequence,693,13.94377789,0,,5.4,,,,,,,,19.34377789
1000000,routing_slip,690,13.93752788,0,,5.4,,,,,,,,19.33752788
1000000,client_side,11,12.52294171,0,,,,,,,,,0.2304,12.75334171
1000000,compiled,5,12.51044169,0,,,,,,,,,,12.51044169
1000000,coordinator,245,25.51046769,0,,,,,,,,,,25.51046769
1000000,async_coordinator,1923,16.50628301,0,,5.4,,,,,,,,21.90628301
1000000,message_queue,749,14.06044479,0,,5.4,0.058347,,,,,,,19.51879179
1000000,storage_based,3490,19.77087288,0,1.29,16.2,,,,,,,,37.26087288
1000000,event_sourcing,2422,17.54586843,0,,,,0.915,24.4,,,,,42.86086843
1000000,blackboard,2000,16.6667,0,,,,1.83,4.575,,,,,23.0717
1000000,step_functions,312,13.1500263,0,,,,,,50,,,,63.1500263
1000000,step_functions_express,312,13.1500263,0,,,,,,,1,6.668,,20.8180263
