makespan,overhead,workflow_instance_id,is_cold,composition
3.79,3.7861044788360596,ec062200-17e5-4e30-a709-18a792c5bda3,cold,coordinator
3.687,3.683165037155151,653d1c8e-660f-4436-aadb-9567fc1b4082,cold,coordinator
3.713,3.7093839054107667,9d81f2a0-f779-48ef-ac12-24c31a6683cf,cold,coordinator
3.66,3.6565260028839113,cc554aa3-57d5-4a74-b52c-2ed28a810ef2,cold,coordinator
3.755,3.7512525367736815,5a1e743c-a597-4e2d-872e-9aff04fd3b04,cold,coordinator
3.671,3.667068477630615,1ff1eb57-f0d8-4ad2-be2c-5af4be266278,cold,coordinator
3.737,3.7332985515594483,c8fdff38-1aef-47ac-95f1-60f02cba8a19,cold,coordinator
3.841,3.837250629425049,75c1aed5-7750-4bac-b25b-8ba79772529b,cold,coordinator
4.035,4.031393203735352,c3ddba7b-097e-4718-bad3-bd0757108f16,cold,coordinator
3.805,3.800858430862427,a32a665c-db7a-40d8-8582-9141baafbab6,cold,coordinator
3.599,3.595427059173584,ede1a07d-1880-44ba-91bf-844d63d53e74,cold,coordinator
3.74,3.7362983131408694,415e8b28-d5f1-4c26-aedf-ac0754f15837,cold,coordinator
3.77,3.765978832244873,16c67809-eccc-4a2b-84a9-3671532e6632,cold,coordinator
3.991,3.9869161281585694,dd14bf67-6241-4fb4-a0ec-56aa2719cfc3,cold,coordinator
3.681,3.670758014678955,5faf60d8-93bd-4bdb-acfd-0eb75661e5f1,cold,coordinator
3.763,3.759018409729004,d6b97b1c-1b99-4ffa-9f44-6e73a47511f0,cold,coordinator
3.78,3.776488094329834,bf5ed709-0082-4f36-aab0-3bae2a3d36f4,cold,coordinator
3.842,3.8379673881530763,038873dd-0f47-44a0-af9d-2f2e0779090a,cold,coordinator
3.609,3.605645212173462,8e86e981-5a82-4481-b3c1-03c6918e8c4c,cold,coordinator
3.832,3.827800971984863,340ac2b2-50c6-4980-a6b5-6511e8615049,cold,coordinator
3.636,3.6325882301330568,2d31427e-e737-477f-880f-f9eadc824faa,cold,coordinator
3.894,3.890198654174805,2e6eb11a-07c4-4770-900f-ebcb64a82ab5,cold,coordinator
3.687,3.6832782859802244,6104af60-7dc8-45fc-9d8c-808ce973e65f,cold,coordinator
3.621,3.6171800575256348,4f775158-e5d7-495e-810a-2ddd23cdc931,cold,coordinator
3.752,3.747716094970703,3905d229-5240-45a5-899e-c25186734b1a,cold,coordinator
3.922,3.918048450469971,e675ad44-baec-4cdc-81b9-c21f30db275d,cold,coordinator
3.745,3.7410474967956544,d79d9018-73f3-46f9-b02f-2cb3febe29d6,cold,coordinator
3.799,3.7951490631103515,ff1043f6-c69a-4975-865b-f26305d57666,cold,coordinator
3.725,3.714328384399414,06b74b23-3e35-4d77-8a8f-1b1118e3a0fa,cold,coordinator
