composition,loc_py,loc_yaml,loc_total,time_delta,cc_avg
sync-function-sequence,74,41,115,5.0,1.1818181818181819
blackboard-based,273,138,411,9.0,1.6129032258064515
client-side-scheduling,55,28,83,0.25,1.0909090909090908
compiled-sequence,18,12,30,0.0833,1.0
coordinator,73,47,120,0.75,1.1666666666666667
storage-based,104,95,199,3.0,1.1538461538461537
routing-slip,126,60,186,1.5,1.2352941176470589
event-sourcing,378,103,481,15.75,1.9761904761904763
async-function-sequence,121,56,177,5.5,1.1764705882352942
workflow-engine,46,75,121,2.75,1.0
message-queue-based,131,104,235,5.25,1.1538461538461537
async-coordinator,202,72,274,4.25,1.3846153846153846
