response_time,dns_dialup,DNS,request_write,response_delay,response_read,status_code,offset,composition,rps
11.1057,0.0059,0.0001,0.0,11.0996,0.0001,200,0.0106,async_coordinator,200
11.1097,0.0083,0.0039,0.0003,11.1011,0.0,200,0.0076,async_coordinator,200
11.1091,0.0054,0.0001,0.0002,11.1035,0.0,200,0.0091,async_coordinator,200
11.1157,0.0094,0.0035,0.0,11.1062,0.0,200,0.0073,async_coordinator,200
11.1222,0.0095,0.0034,0.0,11.1126,0.0,200,0.0072,async_coordinator,200
11.1249,0.0075,0.0001,0.0001,11.1172,0.0,200,0.0081,async_coordinator,200
11.1285,0.0064,0.0,0.0,11.1168,0.0,200,0.0052,async_coordinator,200
11.1311,0.0564,0.0387,0.0005,11.0741,0.0,200,0.0077,async_coordinator,200
11.1307,0.0053,0.0001,0.0002,11.1252,0.0,200,0.0109,async_coordinator,200
11.1254,0.0433,0.0387,0.0004,11.0816,0.0,200,0.0203,async_coordinator,200
11.1329,0.0403,0.0382,0.0006,11.0919,0.0,200,0.0223,async_coordinator,200
11.1401,0.0392,0.0369,0.0001,11.1007,0.0001,200,0.0259,async_coordinator,200
11.1463,0.0445,0.0387,0.0004,11.1013,0.0,200,0.0198,async_coordinator,200
11.1545,0.0439,0.0387,0.0002,11.1103,0.0,200,0.02,async_coordinator,200
11.1561,0.0413,0.016,0.0024,11.1124,0.0,200,0.0193,async_coordinator,200
11.1688,0.0412,0.0385,0.0012,11.1262,0.0001,200,0.0216,async_coordinator,200
11.171,0.0409,0.0383,0.0011,11.129,0.0001,200,0.0219,async_coordinator,200
11.1719,0.041,0.0385,0.0012,11.1296,0.0,200,0.0217,async_coordinator,200
11.1744,0.0405,0.0383,0.001,11.1329,0.0001,200,0.0221,async_coordinator,200
11.2202,0.0528,0.0211,0.0,11.1672,0.0001,200,0.0077,async_coordinator,200
11.2214,0.0066,0.0032,0.0004,11.2144,0.0,200,0.0067,async_coordinator,200
11.3133,0.0415,0.0385,0.0013,11.2704,0.0001,200,0.0214,async_coordinator,200
11.3325,0.0103,0.0031,0.0,11.322,0.0001,200,0.0052,async_coordinator,200
11.3322,0.0082,0.0029,0.0001,11.3238,0.0,200,0.0063,async_coordinator,200
11.3177,0.0414,0.0385,0.0013,11.275,0.0001,200,0.0215,async_coordinator,200
11.3294,0.0547,0.0095,0.0,11.2747,0.0,200,0.0104,async_coordinator,200
11.3334,0.0092,0.0035,0.0001,11.3241,0.0,200,0.0073,async_coordinator,200
11.3348,0.0075,0.0029,0.0002,11.327,0.0,200,0.0066,async_coordinator,200
11.3263,0.04,0.0163,0.0008,11.2854,0.0,200,0.0185,async_coordinator,200
11.3381,0.0084,0.0039,0.0004,11.3294,0.0,200,0.0075,async_coordinator,200
11.326,0.0446,0.0387,0.0004,11.2809,0.0,200,0.0197,async_coordinator,200
11.3391,0.0528,0.0184,0.0028,11.2835,0.0,200,0.0079,async_coordinator,200
11.326,0.0394,0.0386,0.0023,11.2842,0.0,200,0.0212,async_coordinator,200
11.3274,0.044,0.0388,0.0002,11.2831,0.0,200,0.0199,async_coordinator,200
11.3299,0.0411,0.0161,0.005,11.2837,0.0,200,0.0175,async_coordinator,200
11.3407,0.0065,0.0032,0.0004,11.3338,0.0,200,0.0068,async_coordinator,200
11.3387,0.0043,0.0,0.0003,11.3341,0.0,200,0.0094,async_coordinator,200
11.3393,0.0036,0.0001,0.0005,11.335,0.0,200,0.0095,async_coordinator,200
11.3272,0.0429,0.0403,0.0,11.2842,0.0,200,0.0223,async_coordinator,200
11.3432,0.0068,0.0029,0.0005,11.3358,0.0,200,0.0066,async_coordinator,200
11.3279,0.0385,0.0382,0.0029,11.2865,0.0,200,0.0222,async_coordinator,200
11.3435,0.0067,0.0031,0.0005,11.3363,0.0,200,0.0067,async_coordinator,200
11.3316,0.0395,0.0162,0.0007,11.2912,0.0,200,0.0187,async_coordinator,200
11.3438,0.0067,0.0029,0.0005,11.3365,0.0,200,0.0067,async_coordinator,200
11.3434,0.0049,0.0031,0.0006,11.3378,0.0,200,0.0071,async_coordinator,200
11.3341,0.0426,0.0163,0.0003,11.2911,0.0,200,0.0171,async_coordinator,200
11.3439,0.0091,0.0035,0.0,11.3347,0.0,200,0.0074,async_coordinator,200
