response_time,dns_dialup,DNS,request_write,response_delay,response_read,status_code,offset,composition,rps
11.1167,0.005,0.0013,0.0001,11.0951,0.0001,200,0.0107,async_sequence,200
11.1183,0.0208,0.0196,0.0026,11.0928,0.0,200,0.0097,async_sequence,200
11.1205,0.0178,0.0001,0.0002,11.0982,0.0001,200,0.0101,async_sequence,200
11.1248,0.0429,0.0425,0.0001,11.0796,0.0001,200,0.01,async_sequence,200
11.1298,0.0199,0.0179,0.0,11.1067,0.0,200,0.0097,async_sequence,200
11.1301,0.0198,0.0186,0.0001,11.1072,0.0,200,0.0097,async_sequence,200
11.1302,0.0115,0.0,0.0001,11.1076,0.0,200,0.0098,async_sequence,200
11.1348,0.0209,0.0207,0.0002,11.1116,0.0001,200,0.01,async_sequence,200
11.1408,0.0425,0.0139,0.0001,11.0953,0.0002,200,0.0097,async_sequence,200
11.141,0.0174,0.0001,0.0002,11.1192,0.0,200,0.0104,async_sequence,200
11.1423,0.043,0.0425,0.0001,11.0971,0.0,200,0.01,async_sequence,200
11.1466,0.043,0.0042,0.0001,11.099,0.0001,200,0.0104,async_sequence,200
11.1466,0.0346,0.0001,0.0,11.1005,0.0,200,0.0106,async_sequence,200
11.1469,0.0431,0.0,0.0001,11.0992,0.0,200,0.0104,async_sequence,200
11.1503,0.0447,0.0001,0.0001,11.1026,0.0,200,0.0097,async_sequence,200
11.151,0.0231,0.0221,0.0,11.103,0.0,200,0.0109,async_sequence,200
11.1517,0.0349,0.0,0.0001,11.1054,0.0,200,0.0106,async_sequence,200
11.1521,0.0349,0.0,0.0,11.1059,0.0,200,0.0106,async_sequence,200
11.1528,0.0332,0.0,0.0001,11.107,0.0,200,0.0106,async_sequence,200
11.1558,0.0381,0.0,0.0001,11.1085,0.0,200,0.0104,async_sequence,200
11.1575,0.0432,0.0,0.0001,11.1104,0.0,200,0.0097,async_sequence,200
11.1568,0.0214,0.0205,0.0003,11.1082,0.0,200,0.011,async_sequence,200
11.158,0.043,0.0001,0.0001,11.111,0.0,200,0.0097,async_sequence,200
11.1584,0.0427,0.0425,0.0001,11.1133,0.0,200,0.01,async_sequence,200
11.1585,0.0228,0.022,0.0001,11.1107,0.0,200,0.0109,async_sequence,200
11.1597,0.0354,0.0,0.0001,11.1132,0.0,200,0.0106,async_sequence,200
11.1615,0.0441,0.0,0.0016,11.1122,0.0,200,0.0097,async_sequence,200
11.1616,0.0167,0.0,0.0006,11.14,0.0,200,0.0104,async_sequence,200
11.1673,0.0304,0.0004,0.0001,11.1192,0.0001,200,0.0097,async_sequence,200
11.1669,0.0386,0.0,0.0001,11.1194,0.0,200,0.0104,async_sequence,200
11.1704,0.0339,0.0035,0.0001,11.1222,0.0,200,0.0097,async_sequence,200
11.1704,0.0428,0.0207,0.0001,11.1253,0.0002,200,0.01,async_sequence,200
11.1731,0.0376,0.0001,0.0001,11.1259,0.0,200,0.0105,async_sequence,200
11.1741,0.0343,0.0,0.0001,11.1279,0.0,200,0.0106,async_sequence,200
11.1759,0.0222,0.0217,0.0001,11.1281,0.0001,200,0.0109,async_sequence,200
11.177,0.038,0.0,0.0001,11.1298,0.0,200,0.0104,async_sequence,200
11.1776,0.0432,0.0424,0.0,11.1322,0.0001,200,0.0099,async_sequence,200
11.1835,0.0421,0.0001,0.0001,11.1371,0.0,200,0.0097,async_sequence,200
11.1829,0.0314,0.0307,0.0,11.1382,0.0001,200,0.0107,async_sequence,200
11.1878,0.0328,0.0,0.0001,11.1421,0.0001,200,0.0106,async_sequence,200
11.1899,0.0272,0.0264,0.002,11.1385,0.0,200,0.0097,async_sequence,200
11.1968,0.0419,0.0001,0.0001,11.1505,0.0002,200,0.0101,async_sequence,200
11.4019,0.0443,0.0299,0.0002,11.3554,0.0001,200,0.0099,async_sequence,200
11.4099,0.0271,0.0264,0.0003,11.36,0.0001,200,0.0097,async_sequence,200
11.4094,0.0346,0.0,0.0002,11.3632,0.0,200,0.0106,async_sequence,200
11.4092,0.0211,0.0206,0.0002,11.3608,0.0,200,0.011,async_sequence,200
11.4133,0.0329,0.0,0.0001,11.3676,0.0,200,0.0106,async_sequence,200
11.4172,0.0226,0.0219,0.0001,11.3694,0.0,200,0.0109,async_sequence,200
11.4176,0.055,0.0537,0.0002,11.3323,0.0,200,0.0113,async_sequence,200
11.4348,0.0218,0.0205,0.0002,11.3858,0.0001,200,0.0109,async_sequence,200
11.4379,0.0325,0.0001,0.0001,11.3913,0.0001,200,0.0097,async_sequence,200
11.4486,0.0364,0.0,0.0001,11.4018,0.0001,200,0.0105,async_sequence,200
11.4481,0.0554,0.0541,0.0002,11.3627,0.0,200,0.0112,async_sequence,200
