response_time,dns_dialup,DNS,request_write,response_delay,response_read,status_code,offset,composition,rps
8.481,0.0125,0.0108,0.0001,8.4683,0.0001,200,0.0066,blackboard,200
8.6465,0.0167,0.015,0.0003,8.6293,0.0001,200,0.0078,blackboard,200
8.6658,0.0191,0.0126,0.0006,8.646,0.0001,200,0.0073,blackboard,200
8.6677,0.0171,0.0148,0.0005,8.65,0.0,200,0.0076,blackboard,200
10.2907,0.0122,0.0108,0.0001,10.2784,0.0,200,0.0068,blackboard,200
10.8673,0.016,0.015,0.0006,10.8507,0.0001,200,0.0078,blackboard,200
10.8961,0.0169,0.0149,0.0003,10.8788,0.0001,200,0.0077,blackboard,200
10.9,0.019,0.0126,0.0006,10.8803,0.0,200,0.0074,blackboard,200
10.9063,0.0225,0.0121,0.0002,10.8835,0.0001,200,0.007,blackboard,200
12.2438,0.0153,0.0147,0.0003,12.2281,0.0001,200,0.0084,blackboard,200
12.4867,0.0157,0.0147,0.0005,12.4705,0.0001,200,0.0081,blackboard,200
8.8067,0.0,0.0,0.0001,8.8065,0.0001,200,8.4877,blackboard,200
8.8846,0.0,0.0,0.0,8.8844,0.0001,200,8.6731,blackboard,200
8.6057,0.0,0.0,0.0,8.6056,0.0001,200,10.2975,blackboard,200
8.6069,0.0,0.0,0.0,8.6067,0.0001,200,10.8752,blackboard,200
8.3575,0.0,0.0,0.0,8.3573,0.0001,200,12.4949,blackboard,200
9.0701,0.0,0.0,0.0,9.07,0.0001,200,12.2522,blackboard,200
8.4169,0.0,0.0,0.0,8.4168,0.0,200,18.9033,blackboard,200
8.3593,0.0007,0.0001,0.0001,8.3585,0.0001,200,20.0075,blackboard,200
8.5071,0.001,0.0001,0.0001,8.506,0.0001,200,20.009,blackboard,200
9.0543,0.0,0.0,0.0,9.0542,0.0001,200,19.482,blackboard,200
8.5327,0.0026,0.0,0.0003,8.5298,0.0001,200,20.0143,blackboard,200
8.5434,0.0047,0.0001,0.0001,8.5385,0.0001,200,20.0128,blackboard,200
8.6694,0.0004,0.0001,0.0002,8.6688,0.0001,200,20.0055,blackboard,200
8.8422,0.0,0.0,0.0,8.8421,0.0001,200,21.3223,blackboard,200
10.6342,0.001,0.0,0.0023,10.6308,0.0001,200,20.0156,blackboard,200
10.8052,0.0013,0.0,0.0001,10.8037,0.0001,200,20.0246,blackboard,200
10.8304,0.0001,0.0,0.0,10.8302,0.0001,200,20.012,blackboard,200
10.9851,0.0005,0.0001,0.0,10.9845,0.0001,200,20.0208,blackboard,200
