response_time,dns_dialup,DNS,request_write,response_delay,response_read,status_code,offset,composition,rps
6.0926,0.0041,0.0005,0.0002,6.0726,0.0001,200,0.0106,client_side,200
6.0945,0.0194,0.0001,0.0001,6.0718,0.0001,200,0.0088,client_side,200
6.0945,0.0202,0.0,0.0,6.0742,0.0,200,0.0099,client_side,200
6.0928,0.0147,0.003,0.0009,6.0771,0.0,200,0.0117,client_side,200
6.0961,0.0046,0.0,0.0002,6.0739,0.0,200,0.0089,client_side,200
6.0967,0.0189,0.0,0.0001,6.0742,0.0,200,0.0087,client_side,200
6.097,0.0185,0.0002,0.0001,6.0748,0.0,200,0.0088,client_side,200
6.0966,0.0197,0.0136,0.0,6.0768,0.0,200,0.0119,client_side,200
6.1,0.0224,0.0132,0.0,6.0773,0.0,200,0.0088,client_side,200
6.1003,0.0041,0.0,0.0001,6.0784,0.0,200,0.0089,client_side,200
6.1012,0.0182,0.001,0.0001,6.079,0.0,200,0.0084,client_side,200
6.1009,0.017,0.0,0.0,6.078,0.0,200,0.0089,client_side,200
6.1013,0.0209,0.0131,0.0001,6.0788,0.0,200,0.0089,client_side,200
6.1016,0.0042,0.0006,0.0002,6.08,0.0,200,0.0089,client_side,200
6.1021,0.0185,0.0,0.0001,6.08,0.0,200,0.0088,client_side,200
6.1024,0.019,0.0,0.0001,6.08,0.0001,200,0.0088,client_side,200
6.1011,0.0213,0.0134,0.0001,6.0797,0.0,200,0.0102,client_side,200
6.1025,0.0192,0.0002,0.0001,6.08,0.0,200,0.0088,client_side,200
6.1025,0.0045,0.0,0.0001,6.0804,0.0,200,0.0089,client_side,200
6.1026,0.0044,0.0008,0.0002,6.0809,0.0,200,0.0089,client_side,200
6.1026,0.005,0.0,0.0001,6.0803,0.0,200,0.0089,client_side,200
6.1028,0.0186,0.0,0.0002,6.0805,0.0,200,0.0088,client_side,200
6.1027,0.021,0.0052,0.0,6.0815,0.0,200,0.0088,client_side,200
6.1028,0.0056,0.0,0.0001,6.0803,0.0,200,0.0089,client_side,200
6.1002,0.0179,0.003,0.0002,6.0821,0.0,200,0.0115,client_side,200
6.1029,0.0046,0.0009,0.0002,6.0811,0.0,200,0.0089,client_side,200
6.1015,0.0197,0.004,0.0,6.0818,0.0,200,0.0103,client_side,200
6.103,0.0175,0.0002,0.0002,6.0822,0.0,200,0.0088,client_side,200
6.1032,0.0188,0.0001,0.0001,6.0808,0.0,200,0.0087,client_side,200
6.1032,0.0179,0.0001,0.0001,6.0816,0.0,200,0.0089,client_side,200
6.1033,0.0195,0.0136,0.0001,6.0806,0.0,200,0.0088,client_side,200
6.1033,0.0043,0.0001,0.0001,6.0813,0.0,200,0.0089,client_side,200
6.1035,0.0186,0.0002,0.0002,6.0811,0.0,200,0.0087,client_side,200
6.1034,0.018,0.0001,0.0003,6.0816,0.0,200,0.0088,client_side,200
6.1034,0.0178,0.0001,0.0,6.082,0.0,200,0.0089,client_side,200
6.1035,0.0175,0.0,0.0002,6.0827,0.0,200,0.0088,client_side,200
6.1035,0.0038,0.0001,0.0002,6.0817,0.0,200,0.0089,client_side,200
6.1031,0.0198,0.0136,0.0,6.0832,0.0,200,0.0118,client_side,200
6.1048,0.0198,0.0041,0.0,6.0849,0.0,200,0.0101,client_side,200
6.1062,0.0496,0.0011,0.0,6.053,0.0,200,0.0088,client_side,200
6.1062,0.0297,0.0293,0.0001,6.0459,0.0,200,0.0089,client_side,200
6.1063,0.0192,0.0001,0.0001,6.0837,0.0,200,0.0088,client_side,200
6.1035,0.0148,0.003,0.0009,6.0877,0.0,200,0.0117,client_side,200
6.1061,0.021,0.0051,0.0,6.0851,0.0,200,0.0091,client_side,200
6.1052,0.0186,0.0001,0.0,6.0865,0.0,200,0.0114,client_side,200
6.1062,0.0043,0.0007,0.0002,6.0861,0.0,200,0.0105,client_side,200
6.108,0.0195,0.004,0.0001,6.0869,0.0,200,0.0089,client_side,200
6.1063,0.0182,0.003,0.0001,6.0879,0.0,200,0.0115,client_side,200
6.1089,0.0358,0.0223,0.0002,6.0558,0.0,200,0.0089,client_side,200
6.1091,0.0155,0.0001,0.0001,6.0881,0.0,200,0.0089,client_side,200
6.1069,0.0185,0.0031,0.0001,6.0883,0.0,200,0.0113,client_side,200
6.1095,0.0153,0.0001,0.0001,6.0886,0.0,200,0.0089,client_side,200
6.1086,0.0183,0.0031,0.0001,6.09,0.0001,200,0.0114,client_side,200
6.1112,0.0148,0.0001,0.0001,6.0905,0.0,200,0.0089,client_side,200
6.1097,0.0494,0.0002,0.0001,6.0581,0.0,200,0.0104,client_side,200
6.1114,0.0196,0.0107,0.0,6.0886,0.0,200,0.0088,client_side,200
6.1098,0.0178,0.003,0.0001,6.0919,0.0,200,0.0116,client_side,200
6.1097,0.02,0.0135,0.0,6.0896,0.0,200,0.0118,client_side,200
6.0822,0.0296,0.0293,0.0001,6.0525,0.0,200,0.0394,client_side,200
6.1106,0.0178,0.003,0.0001,6.0925,0.0001,200,0.0116,client_side,200
6.1122,0.0499,0.0337,0.0001,6.0601,0.0,200,0.0104,client_side,200
6.0808,0.0278,0.0276,0.0001,6.0529,0.0,200,0.0418,client_side,200
6.111,0.0176,0.003,0.0001,6.0933,0.0,200,0.0117,client_side,200
6.1144,0.0322,0.029,0.0012,6.0615,0.0,200,0.0089,client_side,200
6.114,0.0182,0.003,0.0001,6.0958,0.0,200,0.0115,client_side,200
6.1167,0.0257,0.0254,0.0001,6.0558,0.0,200,0.0089,client_side,200
6.082,0.0257,0.0255,0.0,6.0561,0.0,200,0.0441,client_side,200
6.1201,0.0258,0.0255,0.0,6.059,0.0,200,0.0089,client_side,200
6.1213,0.0522,0.0337,0.0,6.0653,0.0001,200,0.0089,client_side,200
6.1216,0.0303,0.0293,0.0001,6.0606,0.0,200,0.0089,client_side,200
6.0935,0.0304,0.0301,0.0001,6.063,0.0,200,0.0396,client_side,200
6.123,0.0523,0.0337,0.0002,6.0683,0.0,200,0.0104,client_side,200
6.1231,0.0519,0.0023,0.0001,6.0711,0.0,200,0.0103,client_side,200
6.1245,0.0505,0.0338,0.0001,6.0717,0.0,200,0.0105,client_side,200
6.1278,0.0141,0.0001,0.0341,6.0764,0.0,200,0.0088,client_side,200
6.1278,0.0194,0.019,0.0001,6.0741,0.0,200,0.0089,client_side,200
6.1269,0.0521,0.0337,0.0048,6.0679,0.0,200,0.0104,client_side,200
6.1293,0.0506,0.0338,0.0012,6.0736,0.0001,200,0.0089,client_side,200
6.1298,0.052,0.0338,0.0041,6.0699,0.0016,200,0.0104,client_side,200
6.1313,0.0256,0.0255,0.0001,6.0703,0.0,200,0.0089,client_side,200
6.1314,0.0506,0.0338,0.0011,6.0759,0.0,200,0.0089,client_side,200
6.101,0.0302,0.0302,0.0,6.0705,0.0003,200,0.0395,client_side,200
6.1318,0.0181,0.0009,0.0003,6.1098,0.0,200,0.0088,client_side,200
6.1011,0.0304,0.0301,0.0001,6.0707,0.0,200,0.0395,client_side,200
6.1362,0.0501,0.0337,0.0002,6.082,0.0,200,0.0089,client_side,200
6.1351,0.0502,0.0336,0.0003,6.0824,0.0,200,0.0105,client_side,200
6.0986,0.0429,0.0337,0.0,6.0555,0.0,200,0.0515,client_side,200
6.1048,0.0489,0.04,0.0,6.0557,0.0,200,0.0453,client_side,200
6.1059,0.0258,0.0255,0.0,6.0801,0.0,200,0.0442,client_side,200
6.1398,0.0519,0.0338,0.0001,6.0856,0.0,200,0.0104,client_side,200
6.0995,0.0468,0.046,0.0,6.0522,0.0,200,0.0508,client_side,200
6.14,0.0502,0.0336,0.0002,6.0874,0.0,200,0.0105,client_side,200
6.1019,0.0468,0.0459,0.0001,6.055,0.0,200,0.0513,client_side,200
6.1443,0.0493,0.04,0.0,6.0586,0.0,200,0.0089,client_side,200
6.1018,0.0488,0.0337,0.0,6.053,0.0,200,0.0516,client_side,200
6.0963,0.0431,0.0429,0.0001,6.053,0.0,200,0.0571,client_side,200
6.1448,0.0499,0.0337,0.0001,6.0909,0.0,200,0.0089,client_side,200
6.1451,0.05,0.0337,0.0002,6.0907,0.0004,200,0.0089,client_side,200
6.0975,0.0424,0.0411,0.0,6.0549,0.0,200,0.057,client_side,200
6.1073,0.0485,0.0482,0.0001,6.0587,0.0,200,0.0513,client_side,200
6.11,0.0422,0.0186,0.0001,6.0676,0.0,200,0.0515,client_side,200
6.1527,0.0483,0.04,0.0001,6.0678,0.0,200,0.0089,client_side,200
6.1528,0.0553,0.0337,0.0005,6.0928,0.0002,200,0.0089,client_side,200
6.1529,0.0551,0.0337,0.0001,6.0937,0.0,200,0.0089,client_side,200
6.147,0.0278,0.0253,0.0002,6.0947,0.0001,200,0.0149,client_side,200
6.1515,0.0553,0.0337,0.0001,6.0938,0.0,200,0.0105,client_side,200
6.1112,0.0486,0.0485,0.0003,6.0622,0.0,200,0.0514,client_side,200
6.1238,0.0278,0.0254,0.0002,6.0958,0.0,200,0.0389,client_side,200
6.1539,0.0559,0.0337,0.0,6.0939,0.0001,200,0.0089,client_side,200
6.154,0.055,0.0339,0.0001,6.0948,0.0,200,0.0089,client_side,200
6.1246,0.0268,0.0254,0.0009,6.0969,0.0,200,0.039,client_side,200
6.1529,0.0527,0.0345,0.0002,6.0974,0.0,200,0.0118,client_side,200
6.1197,0.0483,0.0403,0.0006,6.0707,0.0,200,0.0454,client_side,200
6.1081,0.0417,0.0416,0.0,6.0663,0.0001,200,0.057,client_side,200
6.1599,0.0553,0.0337,0.0001,6.1005,0.0,200,0.0089,client_side,200
6.1601,0.0547,0.0339,0.0002,6.1011,0.0,200,0.0089,client_side,200
6.1161,0.0407,0.0324,0.0001,6.0753,0.0,200,0.053,client_side,200
6.1587,0.0551,0.0337,0.0001,6.1012,0.0,200,0.0106,client_side,200
6.161,0.0548,0.0339,0.0002,6.1019,0.0,200,0.0089,client_side,200
6.164,0.0296,0.0256,0.0,6.1039,0.0001,200,0.0089,client_side,200
6.1194,0.042,0.0412,0.0004,6.0769,0.0,200,0.0569,client_side,200
6.1381,0.0267,0.0254,0.0004,6.111,0.0,200,0.0391,client_side,200
6.1457,0.0298,0.0255,0.0,6.1158,0.0,200,0.0391,client_side,200
6.144,0.0398,0.0338,0.0003,6.1038,0.0,200,0.0532,client_side,200
6.1891,0.0265,0.0256,0.0004,6.1319,0.0,200,0.0089,client_side,200
6.1435,0.0369,0.0349,0.0007,6.1059,0.0,200,0.0551,client_side,200
6.154,0.048,0.0408,0.0003,6.1056,0.0,200,0.0454,client_side,200
6.1443,0.0364,0.0348,0.0008,6.1071,0.0,200,0.0554,client_side,200
6.1911,0.0499,0.0481,0.001,6.107,0.0001,200,0.0089,client_side,200
6.1587,0.0501,0.0484,0.0003,6.1082,0.0,200,0.0416,client_side,200
6.1619,0.0537,0.0391,0.0002,6.1079,0.0,200,0.0392,client_side,200
6.1923,0.0535,0.0343,0.0001,6.1334,0.0,200,0.0089,client_side,200
6.1923,0.0499,0.0481,0.0004,6.109,0.0,200,0.0089,client_side,200
6.1924,0.0474,0.0391,0.0002,6.1081,0.0001,200,0.0089,client_side,200
6.162,0.0298,0.0292,0.0,6.1322,0.0,200,0.0394,client_side,200
6.1925,0.0546,0.0339,0.0001,6.135,0.0002,200,0.0106,client_side,200
6.1624,0.0501,0.0484,0.001,6.1112,0.0001,200,0.0417,client_side,200
6.1963,0.0526,0.0344,0.0002,6.138,0.0002,200,0.0089,client_side,200
6.1973,0.0267,0.0254,0.0004,6.14,0.0,200,0.0089,client_side,200
6.1667,0.0522,0.0503,0.0006,6.1138,0.0,200,0.0397,client_side,200
6.1672,0.0523,0.0483,0.0008,6.1141,0.0,200,0.0397,client_side,200
6.1534,0.0366,0.0349,0.0004,6.1164,0.0,200,0.0552,client_side,200
6.1535,0.0368,0.0349,0.0006,6.1161,0.0,200,0.0551,client_side,200
6.1556,0.0408,0.0327,0.0007,6.1141,0.0,200,0.053,client_side,200
6.1998,0.0476,0.0415,0.0004,6.1152,0.0,200,0.0089,client_side,200
6.1558,0.0399,0.0338,0.0005,6.115,0.0003,200,0.0532,client_side,200
6.154,0.0364,0.0348,0.0003,6.1171,0.0001,200,0.0553,client_side,200
6.1566,0.0403,0.0331,0.0003,6.116,0.0,200,0.0531,client_side,200
6.1606,0.0366,0.0348,0.001,6.123,0.0,200,0.0553,client_side,200
6.1705,0.0475,0.0415,0.0002,6.1227,0.0001,200,0.0455,client_side,200
6.1718,0.0465,0.0245,0.0003,6.1238,0.0,200,0.0443,client_side,200
6.1768,0.0259,0.0256,0.0001,6.1508,0.0,200,0.0392,client_side,200
6.1627,0.0381,0.0323,0.0002,6.1229,0.0,200,0.0534,client_side,200
6.2074,0.0496,0.0481,0.0008,6.1236,0.0,200,0.0087,client_side,200
6.2074,0.051,0.0461,0.0002,6.1232,0.0,200,0.0089,client_side,200
6.1745,0.0499,0.0485,0.0004,6.1241,0.0,200,0.0418,client_side,200
6.2075,0.0299,0.0292,0.0004,6.1467,0.0,200,0.0089,client_side,200
6.1631,0.0397,0.0338,0.0004,6.123,0.0,200,0.0533,client_side,200
6.1611,0.0362,0.0348,0.0005,6.1244,0.0,200,0.0555,client_side,200
6.2079,0.0498,0.0481,0.0009,6.124,0.0,200,0.0089,client_side,200
6.1727,0.048,0.0465,0.0004,6.1241,0.0001,200,0.0481,client_side,200
6.1653,0.0483,0.0347,0.0001,6.1166,0.0003,200,0.0556,client_side,200
6.2122,0.0523,0.0484,0.0008,6.1285,0.0,200,0.0089,client_side,200
6.1663,0.0379,0.0323,0.0002,6.1281,0.0,200,0.0549,client_side,200
6.2121,0.0493,0.0483,0.0006,6.1289,0.0,200,0.0089,client_side,200
6.166,0.0362,0.0348,0.0007,6.1289,0.0001,200,0.0555,client_side,200
6.2126,0.0493,0.0282,0.0008,6.1295,0.0,200,0.0089,client_side,200
6.1712,0.0463,0.0456,0.0,6.1248,0.0,200,0.0504,client_side,200
6.2128,0.0525,0.0345,0.0002,6.1546,0.0,200,0.0089,client_side,200
6.1719,0.0456,0.0441,0.0001,6.1262,0.0,200,0.0506,client_side,200
6.1669,0.0414,0.041,0.0,6.1254,0.0,200,0.0556,client_side,200
6.1732,0.0456,0.0455,0.0002,6.1271,0.0002,200,0.0496,client_side,200
6.1831,0.0549,0.0302,0.0,6.1281,0.0,200,0.0397,client_side,200
6.1745,0.0459,0.0439,0.0,6.1285,0.0,200,0.0507,client_side,200
6.2165,0.0526,0.0344,0.0003,6.1581,0.0001,200,0.0089,client_side,200
