response_time,dns_dialup,DNS,request_write,response_delay,response_read,status_code,offset,composition,rps
6.0281,0.0009,0.0005,0.0003,6.0267,0.0001,200,0.0083,compiled,200
6.0273,0.0015,0.0014,0.0001,6.0256,0.0,200,0.0098,compiled,200
6.0452,0.0232,0.0001,0.0003,6.0166,0.0,200,0.0101,compiled,200
6.0457,0.0233,0.0,0.0003,6.017,0.0001,200,0.0101,compiled,200
6.0441,0.0247,0.0001,0.0005,6.0188,0.0,200,0.0119,compiled,200
6.0436,0.0237,0.0,0.0008,6.019,0.0,200,0.0125,compiled,200
6.0439,0.0241,0.0001,0.0008,6.019,0.0,200,0.0122,compiled,200
6.0467,0.02,0.0018,0.0004,6.0194,0.0,200,0.0101,compiled,200
6.0401,0.0199,0.002,0.0004,6.0198,0.0,200,0.0169,compiled,200
6.0409,0.0197,0.0002,0.0003,6.0208,0.0,200,0.0165,compiled,200
6.0477,0.0242,0.0004,0.0002,6.0187,0.0,200,0.0101,compiled,200
6.0445,0.0266,0.0,0.0001,6.0178,0.0,200,0.0135,compiled,200
6.0449,0.023,0.0,0.0008,6.0211,0.0,200,0.0132,compiled,200
6.0465,0.0239,0.0001,0.0008,6.0217,0.0,200,0.0123,compiled,200
6.0418,0.0233,0.0019,0.0,6.0184,0.0,200,0.017,compiled,200
6.0439,0.0238,0.0001,0.0002,6.0199,0.0,200,0.015,compiled,200
6.045,0.0258,0.0001,0.0001,6.019,0.0,200,0.014,compiled,200
6.0458,0.0264,0.0001,0.0001,6.0188,0.0005,200,0.0136,compiled,200
6.045,0.0231,0.0001,0.0003,6.0216,0.0,200,0.0152,compiled,200
6.0503,0.0298,0.0005,0.0001,6.0203,0.0,200,0.01,compiled,200
6.0503,0.023,0.0001,0.0002,6.0218,0.0,200,0.0101,compiled,200
6.0477,0.0232,0.0001,0.0008,6.0234,0.0,200,0.0128,compiled,200
6.0503,0.0048,0.0004,0.0008,6.019,0.0,200,0.0103,compiled,200
6.048,0.0236,0.0001,0.0008,6.0235,0.0,200,0.0126,compiled,200
6.0506,0.0259,0.0004,0.0001,6.0209,0.0,200,0.0101,compiled,200
6.0469,0.0261,0.0,0.0001,6.0207,0.0,200,0.0138,compiled,200
6.0508,0.0256,0.0001,0.0001,6.021,0.0,200,0.0101,compiled,200
6.0457,0.0231,0.0001,0.0003,6.0223,0.0,200,0.0152,compiled,200
6.0468,0.0252,0.0001,0.0002,6.0213,0.0,200,0.0142,compiled,200
6.051,0.0041,0.0005,0.0008,6.0198,0.0,200,0.0103,compiled,200
6.0465,0.0221,0.0,0.0006,6.0237,0.0,200,0.0155,compiled,200
6.0475,0.0243,0.0,0.0003,6.0228,0.0,200,0.0146,compiled,200
6.052,0.0244,0.0,0.0003,6.0228,0.0,200,0.0101,compiled,200
6.052,0.024,0.0001,0.0003,6.023,0.0,200,0.0101,compiled,200
6.0488,0.0228,0.0001,0.0008,6.0252,0.0,200,0.0133,compiled,200
6.0469,0.0229,0.0001,0.0002,6.0237,0.0,200,0.0153,compiled,200
6.0482,0.0247,0.0001,0.0001,6.0233,0.0,200,0.0144,compiled,200
6.0264,0.0044,0.0001,0.0001,6.0218,0.0,200,0.037,compiled,200
6.0487,0.0239,0.0001,0.0003,6.0244,0.0,200,0.0149,compiled,200
6.0534,0.0235,0.0003,0.0003,6.0248,0.0,200,0.0101,compiled,200
6.0463,0.0194,0.0,0.0004,6.0263,0.0,200,0.0173,compiled,200
6.0496,0.0255,0.0001,0.0001,6.0238,0.0001,200,0.0141,compiled,200
6.027,0.0035,0.0001,0.0008,6.0227,0.0,200,0.0372,compiled,200
6.0297,0.0033,0.0,0.0007,6.0256,0.0,200,0.0373,compiled,200
6.0528,0.0304,0.006,0.0,6.0223,0.0,200,0.0143,compiled,200
6.0527,0.0301,0.0194,0.0001,6.0225,0.0,200,0.0145,compiled,200
6.0568,0.0036,0.0009,0.0006,6.0261,0.0,200,0.0104,compiled,200
6.0568,0.0021,0.0,0.0005,6.0263,0.0,200,0.0105,compiled,200
6.0526,0.022,0.0001,0.0006,6.03,0.0,200,0.0155,compiled,200
6.0536,0.0298,0.0191,0.0001,6.0236,0.0,200,0.0146,compiled,200
6.0578,0.0024,0.0,0.0006,6.0272,0.0,200,0.0105,compiled,200
6.053,0.0228,0.0001,0.0002,6.0299,0.0,200,0.0154,compiled,200
6.0583,0.0274,0.0027,0.0,6.0235,0.0,200,0.0101,compiled,200
6.0581,0.0061,0.0,0.0003,6.0257,0.0,200,0.0103,compiled,200
6.0582,0.0065,0.0,0.0003,6.0256,0.0,200,0.0103,compiled,200
6.0581,0.0026,0.0,0.0006,6.0274,0.0,200,0.0104,compiled,200
6.0593,0.0243,0.0136,0.0001,6.0248,0.0,200,0.0102,compiled,200
6.0321,0.003,0.0,0.0007,6.0283,0.0,200,0.0376,compiled,200
6.0591,0.0015,0.0,0.0004,6.0289,0.0,200,0.0106,compiled,200
6.0552,0.0296,0.0192,0.0001,6.0253,0.0,200,0.0146,compiled,200
6.0597,0.0089,0.0001,0.0002,6.0263,0.0,200,0.0102,compiled,200
6.0599,0.0251,0.0001,0.0002,6.0304,0.0,200,0.0101,compiled,200
6.0543,0.0285,0.0183,0.0001,6.0256,0.0,200,0.0158,compiled,200
6.0327,0.0032,0.0,0.0007,6.0288,0.0,200,0.0374,compiled,200
6.0595,0.0017,0.0001,0.0004,6.0293,0.0,200,0.0106,compiled,200
6.0559,0.025,0.0,0.0002,6.0306,0.0,200,0.0143,compiled,200
6.0599,0.0054,0.0,0.0005,6.0278,0.0,200,0.0104,compiled,200
6.0602,0.0217,0.0,0.0005,6.0323,0.0,200,0.0101,compiled,200
6.0634,0.0218,0.0003,0.0005,6.0355,0.0,200,0.0101,compiled,200
6.0371,0.0053,0.0001,0.0005,6.0312,0.0,200,0.0365,compiled,200
6.0633,0.0056,0.0,0.0005,6.0313,0.0,200,0.0103,compiled,200
6.0632,0.0018,0.0,0.0004,6.0329,0.0,200,0.0106,compiled,200
6.0398,0.0101,0.0001,0.0001,6.0296,0.0,200,0.034,compiled,200
6.0636,0.0066,0.0001,0.0004,6.0308,0.0,200,0.0103,compiled,200
6.0637,0.0083,0.0001,0.0003,6.0307,0.0,200,0.0102,compiled,200
6.0582,0.0283,0.0182,0.0001,6.0298,0.0,200,0.0158,compiled,200
6.0639,0.0087,0.0,0.0002,6.0306,0.0,200,0.0102,compiled,200
6.0626,0.0085,0.0005,0.0005,6.0309,0.0,200,0.0115,compiled,200
6.064,0.0102,0.0001,0.0001,6.0299,0.0,200,0.0102,compiled,200
6.0638,0.0063,0.0,0.0004,6.0313,0.0,200,0.0103,compiled,200
6.0579,0.021,0.0,0.0003,6.0365,0.0,200,0.0163,compiled,200
6.0638,0.0028,0.0001,0.0006,6.033,0.0,200,0.0104,compiled,200
6.0642,0.022,0.0004,0.0005,6.0363,0.0,200,0.0101,compiled,200
6.0642,0.002,0.0001,0.0005,6.0334,0.0,200,0.0101,compiled,200
6.0641,0.0066,0.0,0.0003,6.0316,0.0,200,0.0103,compiled,200
6.0641,0.0064,0.0,0.0004,6.0314,0.0,200,0.0103,compiled,200
6.0642,0.0079,0.0,0.0005,6.0313,0.0,200,0.0103,compiled,200
6.0595,0.0293,0.019,0.0001,6.03,0.0,200,0.015,compiled,200
6.0641,0.0007,0.0001,0.0,6.0296,0.0,200,0.0104,compiled,200
6.0641,0.0023,0.0001,0.0006,6.0335,0.0,200,0.0105,compiled,200
6.0597,0.0278,0.0184,0.0002,6.0317,0.0,200,0.0159,compiled,200
6.0654,0.0051,0.0001,0.0004,6.0335,0.0,200,0.0104,compiled,200
6.0657,0.0279,0.0184,0.0002,6.0318,0.0,200,0.0101,compiled,200
6.0402,0.005,0.0003,0.0003,6.0349,0.0,200,0.0366,compiled,200
6.0667,0.0096,0.0,0.0002,6.0328,0.0,200,0.0102,compiled,200
6.0614,0.0218,0.0,0.0006,6.0389,0.0,200,0.0156,compiled,200
6.066,0.0249,0.0,0.0001,6.0381,0.0,200,0.0115,compiled,200
6.0614,0.021,0.0001,0.0002,6.0401,0.0,200,0.0164,compiled,200
6.0619,0.0273,0.0183,0.0003,6.0342,0.0,200,0.0161,compiled,200
6.0678,0.0277,0.0183,0.0001,6.034,0.0,200,0.0101,compiled,200
6.062,0.0274,0.0184,0.0003,6.0343,0.0,200,0.016,compiled,200
6.0609,0.0255,0.0173,0.0005,6.0349,0.0,200,0.0171,compiled,200
6.0677,0.005,0.0,0.0004,6.0359,0.0,200,0.0104,compiled,200
6.0677,0.0052,0.0,0.0005,6.0358,0.0,200,0.0104,compiled,200
6.062,0.027,0.0182,0.0002,6.0346,0.0,200,0.0163,compiled,200
6.0681,0.0059,0.0005,0.0004,6.0363,0.0,200,0.0103,compiled,200
6.0681,0.0095,0.0,0.0002,6.0343,0.0001,200,0.0102,compiled,200
6.0653,0.0234,0.0027,0.0002,6.0415,0.0,200,0.0139,compiled,200
6.0426,0.0046,0.0001,0.0003,6.0375,0.0,200,0.037,compiled,200
6.0639,0.0218,0.0,0.0006,6.0415,0.0,200,0.0157,compiled,200
6.0699,0.0058,0.0007,0.0004,6.0379,0.0,200,0.0103,compiled,200
6.0722,0.0015,0.0,0.0413,6.0293,0.0001,200,0.0098,compiled,200
6.0745,0.0023,0.0001,0.0413,6.0307,0.0,200,0.0091,compiled,200
6.0672,0.0197,0.0001,0.0004,6.0471,0.0,200,0.0172,compiled,200
6.0751,0.0018,0.0016,0.0404,6.0328,0.0,200,0.0095,compiled,200
6.0692,0.0271,0.0182,0.0003,6.0416,0.0,200,0.0161,compiled,200
6.0759,0.0019,0.0,0.0413,6.0327,0.0,200,0.0095,compiled,200
6.0719,0.0234,0.0027,0.0002,6.0479,0.0,200,0.0136,compiled,200
6.0704,0.0216,0.0011,0.0002,6.0485,0.0,200,0.0157,compiled,200
6.0766,0.0014,0.0001,0.0413,6.0339,0.0,200,0.0099,compiled,200
6.073,0.0051,0.0001,0.0004,6.0443,0.0,200,0.0134,compiled,200
6.0773,0.0018,0.0001,0.0413,6.0342,0.0,200,0.0096,compiled,200
6.0768,0.0081,0.0072,0.0,6.0422,0.0,200,0.0104,compiled,200
6.0511,0.0053,0.0005,0.0003,6.0454,0.0,200,0.0364,compiled,200
6.0824,0.0186,0.0174,0.0001,6.0214,0.0,200,0.0107,compiled,200
6.0313,0.0083,0.008,0.0001,6.0227,0.0001,200,0.0619,compiled,200
6.0314,0.0101,0.0095,0.0,6.0212,0.0,200,0.0618,compiled,200
6.0859,0.0344,0.034,0.0001,6.0259,0.0,200,0.0103,compiled,200
6.0936,0.0258,0.0249,0.0001,6.0327,0.0,200,0.0107,compiled,200
6.0937,0.0275,0.0249,0.0002,6.0311,0.0,200,0.0107,compiled,200
6.043,0.0109,0.0096,0.0001,6.0319,0.0,200,0.0615,compiled,200
6.0943,0.0189,0.0174,0.0,6.033,0.0,200,0.0106,compiled,200
6.0861,0.0511,0.0339,0.0001,6.0348,0.0,200,0.019,compiled,200
6.0715,0.0359,0.0272,0.0001,6.0355,0.0,200,0.0343,compiled,200
6.0858,0.0502,0.043,0.0,6.0355,0.0001,200,0.0201,compiled,200
6.0955,0.0206,0.0175,0.0001,6.0325,0.0,200,0.0107,compiled,200
6.0864,0.0507,0.0498,0.0001,6.0356,0.0,200,0.0202,compiled,200
6.0864,0.05,0.0498,0.0001,6.0362,0.0,200,0.0201,compiled,200
6.0891,0.051,0.0501,0.0,6.0357,0.0,200,0.0175,compiled,200
6.0723,0.0357,0.0341,0.0,6.0365,0.0,200,0.0346,compiled,200
6.0874,0.0508,0.0502,0.0001,6.0364,0.0,200,0.0198,compiled,200
6.0544,0.0183,0.0174,0.0001,6.0359,0.0,200,0.0531,compiled,200
6.0881,0.0505,0.0498,0.0001,6.0375,0.0,200,0.0202,compiled,200
6.0553,0.0181,0.0175,0.0002,6.0369,0.0,200,0.0531,compiled,200
6.0981,0.0264,0.0258,0.0,6.0378,0.0,200,0.0104,compiled,200
6.098,0.0259,0.0249,0.0021,6.0351,0.0,200,0.0107,compiled,200
6.0989,0.0222,0.0202,0.0,6.0357,0.0012,200,0.0109,compiled,200
6.0995,0.0218,0.0202,0.0001,6.0377,0.0,200,0.011,compiled,200
6.1003,0.0507,0.05,0.0001,6.0396,0.0,200,0.0102,compiled,200
6.0996,0.0211,0.0202,0.0003,6.0382,0.0,200,0.011,compiled,200
6.0998,0.0207,0.0203,0.0027,6.0368,0.0,200,0.0108,compiled,200
6.0574,0.018,0.0175,0.0003,6.0391,0.0,200,0.0532,compiled,200
6.1001,0.023,0.0204,0.0002,6.0373,0.0,200,0.0106,compiled,200
6.0562,0.0184,0.0164,0.0,6.0377,0.0,200,0.0545,compiled,200
6.0575,0.0179,0.0175,0.0004,6.0391,0.0,200,0.0532,compiled,200
6.0575,0.0186,0.0165,0.0,6.0377,0.0001,200,0.0533,compiled,200
6.0576,0.0179,0.0176,0.0004,6.0393,0.0,200,0.0532,compiled,200
6.0493,0.0105,0.0096,0.0003,6.0384,0.0001,200,0.0616,compiled,200
6.0576,0.0177,0.0176,0.0002,6.0396,0.0,200,0.0532,compiled,200
6.1,0.0205,0.0202,0.0003,6.0393,0.0002,200,0.0109,compiled,200
6.091,0.0501,0.0446,0.0001,6.0406,0.0002,200,0.0199,compiled,200
6.101,0.0605,0.0499,0.0001,6.0401,0.0002,200,0.01,compiled,200
6.1002,0.0208,0.0203,0.0003,6.0393,0.0002,200,0.0108,compiled,200
6.1002,0.0207,0.0203,0.0002,6.0395,0.0001,200,0.0108,compiled,200
6.091,0.0508,0.0499,0.0001,6.0398,0.0003,200,0.02,compiled,200
6.0625,0.0184,0.0174,0.0001,6.0439,0.0,200,0.053,compiled,200
6.1047,0.0203,0.0202,0.0,6.0445,0.0,200,0.0109,compiled,200
6.0625,0.0179,0.0175,0.0001,6.0445,0.0,200,0.0532,compiled,200
6.1063,0.0597,0.025,0.0001,6.0451,0.0,200,0.0093,compiled,200
6.0539,0.0101,0.0095,0.0002,6.0436,0.0,200,0.0618,compiled,200
6.1042,0.0605,0.0185,0.0017,6.0419,0.0,200,0.0115,compiled,200
6.1051,0.0252,0.025,0.0002,6.0451,0.0,200,0.0106,compiled,200
6.054,0.0102,0.0095,0.0002,6.0435,0.0,200,0.0618,compiled,200
6.0542,0.0104,0.0096,0.0001,6.0437,0.0,200,0.0616,compiled,200
6.105,0.0206,0.0203,0.0004,6.0443,0.0,200,0.0108,compiled,200
6.1052,0.025,0.0249,0.0,6.0454,0.0,200,0.0106,compiled,200
6.0632,0.0182,0.0175,0.0003,6.0442,0.0005,200,0.0531,compiled,200
6.055,0.011,0.0096,0.0001,6.0438,0.0,200,0.0614,compiled,200
6.1057,0.021,0.0203,0.0002,6.0449,0.0,200,0.0107,compiled,200
6.0548,0.0103,0.0095,0.001,6.0434,0.0,200,0.0617,compiled,200
6.0636,0.0187,0.0174,0.0001,6.0447,0.0,200,0.053,compiled,200
6.106,0.0254,0.0251,0.0001,6.046,0.0,200,0.0106,compiled,200
6.0789,0.034,0.0326,0.0001,6.0447,0.0,200,0.0377,compiled,200
6.1057,0.0204,0.0202,0.0003,6.0453,0.0,200,0.0109,compiled,200
6.1057,0.0215,0.0202,0.0001,6.0441,0.0,200,0.011,compiled,200
6.1065,0.0502,0.0499,0.0001,6.0465,0.0,200,0.0102,compiled,200
6.1075,0.0608,0.0196,0.0001,6.0446,0.0,200,0.0092,compiled,200
6.1053,0.0193,0.0185,0.0015,6.0431,0.0,200,0.0115,compiled,200
6.1061,0.0252,0.025,0.0002,6.0462,0.0,200,0.0106,compiled,200
6.1058,0.0217,0.0201,0.0,6.0441,0.0,200,0.011,compiled,200
6.1063,0.0211,0.0203,0.002,6.0435,0.0,200,0.0106,compiled,200
6.1063,0.0254,0.025,0.0001,6.0464,0.0,200,0.0106,compiled,200
6.1063,0.0261,0.0249,0.0001,6.0452,0.0,200,0.0107,compiled,200
6.0638,0.0178,0.0176,0.0003,6.0456,0.0,200,0.0532,compiled,200
6.1055,0.0191,0.0184,0.0002,6.0448,0.0,200,0.0115,compiled,200
6.1064,0.0265,0.0249,0.0,6.0451,0.0,200,0.0107,compiled,200
6.0657,0.0182,0.0164,0.0001,6.0474,0.0,200,0.0545,compiled,200
6.1096,0.0262,0.0249,0.0001,6.0484,0.0,200,0.0107,compiled,200
6.1094,0.022,0.0202,0.0001,6.0475,0.0,200,0.011,compiled,200
6.1098,0.0253,0.025,0.0002,6.0498,0.0,200,0.0106,compiled,200
6.0172,0.0,0.0,0.0,6.0171,0.0,200,6.0364,compiled,200
6.0169,0.0,0.0,0.0,6.0168,0.0001,200,6.037,compiled,200
6.0171,0.0,0.0,0.0,6.017,0.0,200,6.0553,compiled,200
6.0164,0.0,0.0,0.0,6.0163,0.0001,200,6.056,compiled,200
6.0165,0.0,0.0,0.0,6.0164,0.0,200,6.0561,compiled,200
6.017,0.0,0.0,0.0,6.017,0.0,200,6.0562,compiled,200
6.0167,0.0,0.0,0.0,6.0166,0.0,200,6.0574,compiled,200
6.017,0.0,0.0,0.0,6.0169,0.0001,200,6.058,compiled,200
6.018,0.0,0.0,0.0,6.018,0.0,200,6.057,compiled,200
6.0194,0.0,0.0,0.0,6.0193,0.0,200,6.0558,compiled,200
6.0187,0.0,0.0,0.0,6.0186,0.0,200,6.0567,compiled,200
6.0169,0.0,0.0,0.0,6.0164,0.0,200,6.0589,compiled,200
6.0171,0.0,0.0,0.0,6.0171,0.0,200,6.0588,compiled,200
6.0179,0.0,0.0,0.0,6.0179,0.0,200,6.0581,compiled,200
6.0172,0.0,0.0,0.0,6.0171,0.0,200,6.0589,compiled,200
6.0176,0.0,0.0,0.0,6.0176,0.0,200,6.0594,compiled,200
6.0185,0.0,0.0,0.0,6.0184,0.0,200,6.0588,compiled,200
6.0168,0.0,0.0,0.0,6.0167,0.0,200,6.0606,compiled,200
6.0167,0.0,0.0,0.0,6.0167,0.0,200,6.0607,compiled,200
6.0171,0.0,0.0,0.0,6.017,0.0,200,6.0604,compiled,200
6.0172,0.0,0.0,0.0,6.0172,0.0,200,6.0603,compiled,200
6.0171,0.0,0.0,0.0,6.0171,0.0,200,6.0608,compiled,200
6.0212,0.0,0.0,0.0,6.0212,0.0,200,6.0602,compiled,200
6.021,0.0,0.0,0.0,6.0209,0.0,200,6.0605,compiled,200
6.0207,0.0,0.0,0.0,6.0206,0.0,200,6.0609,compiled,200
6.0202,0.0,0.0,0.0,6.0202,0.0,200,6.0614,compiled,200
6.024,0.0,0.0,0.0,6.0239,0.0001,200,6.0578,compiled,200
6.0212,0.0,0.0,0.0,6.0211,0.0,200,6.0608,compiled,200
6.0197,0.0,0.0,0.0,6.0196,0.0,200,6.0622,compiled,200
6.0196,0.0,0.0,0.0,6.0196,0.0,200,6.0626,compiled,200
6.0203,0.0,0.0,0.0,6.0202,0.0,200,6.062,compiled,200
6.0202,0.0,0.0,0.0,6.0201,0.0,200,6.0622,compiled,200
6.0187,0.0,0.0,0.0,6.0187,0.0,200,6.0636,compiled,200
6.0189,0.0,0.0,0.0,6.0188,0.0,200,6.0635,compiled,200
6.0191,0.0,0.0,0.0,6.019,0.0,200,6.0634,compiled,200
6.019,0.0,0.0,0.0,6.0189,0.0,200,6.0635,compiled,200
6.0221,0.0,0.0,0.0,6.0221,0.0,200,6.0605,compiled,200
6.0184,0.0,0.0,0.0,6.0183,0.0,200,6.0642,compiled,200
6.0206,0.0,0.0,0.0,6.0206,0.0,200,6.0621,compiled,200
6.0206,0.0,0.0,0.0,6.0206,0.0,200,6.0621,compiled,200
6.0193,0.0,0.0,0.0,6.0191,0.0,200,6.0635,compiled,200
6.0219,0.0,0.0,0.0,6.0219,0.0,200,6.0609,compiled,200
6.0208,0.0,0.0,0.0,6.0208,0.0,200,6.0621,compiled,200
6.0179,0.0,0.0,0.0,6.0179,0.0,200,6.0671,compiled,200
6.0166,0.0,0.0,0.0,6.0166,0.0,200,6.0684,compiled,200
6.0172,0.0,0.0,0.0,6.0172,0.0,200,6.0685,compiled,200
6.0177,0.0,0.0,0.0,6.0176,0.0,200,6.0681,compiled,200
6.02,0.0,0.0,0.0,6.02,0.0,200,6.0672,compiled,200
6.02,0.0,0.0,0.0,6.0199,0.0001,200,6.0673,compiled,200
6.0172,0.0,0.0,0.0,6.0171,0.0,200,6.0702,compiled,200
6.019,0.0,0.0,0.0,6.019,0.0,200,6.0684,compiled,200
6.0204,0.0,0.0,0.0,6.0203,0.0,200,6.0672,compiled,200
6.0192,0.0,0.0,0.0,6.0191,0.0,200,6.0686,compiled,200
6.0175,0.0,0.0,0.0,6.0175,0.0,200,6.0704,compiled,200
6.0179,0.0,0.0,0.0,6.0178,0.0,200,6.07,compiled,200
6.0183,0.0,0.0,0.0,6.0182,0.0,200,6.0701,compiled,200
6.0185,0.0,0.0,0.0003,6.0182,0.0,200,6.07,compiled,200
6.0226,0.0,0.0,0.0,6.0225,0.0,200,6.067,compiled,200
6.0214,0.0,0.0,0.0,6.0214,0.0,200,6.0682,compiled,200
6.0201,0.0,0.0,0.0,6.02,0.0,200,6.0696,compiled,200
6.0203,0.0,0.0,0.0,6.0202,0.0,200,6.0695,compiled,200
6.0207,0.0,0.0,0.0,6.0206,0.0,200,6.0701,compiled,200
6.0213,0.0,0.0,0.0,6.0213,0.0,200,6.0699,compiled,200
6.0175,0.0,0.0,0.0,6.0175,0.0,200,6.0738,compiled,200
6.0185,0.0,0.0,0.0,6.0184,0.0001,200,6.0743,compiled,200
6.0192,0.0,0.0,0.0,6.0192,0.0,200,6.0737,compiled,200
6.0247,0.0,0.0,0.0,6.0246,0.0,200,6.0683,compiled,200
6.0186,0.0,0.0,0.0,6.0186,0.0,200,6.0745,compiled,200
