response_time,dns_dialup,DNS,request_write,response_delay,response_read,status_code,offset,composition,rps
6.2653,0.0444,0.0429,0.0002,6.2201,0.0001,200,0.0074,coordinator,200
6.27,0.0482,0.0,0.0002,6.2182,0.0,200,0.0074,coordinator,200
6.2707,0.0329,0.0326,0.0036,6.227,0.0001,200,0.0074,coordinator,200
6.2736,0.0436,0.0,0.0001,6.2205,0.0,200,0.0075,coordinator,200
6.2739,0.0009,0.0001,0.0001,6.229,0.0,200,0.0074,coordinator,200
6.274,0.0354,0.0001,0.0001,6.2292,0.0,200,0.0075,coordinator,200
6.2754,0.0017,0.0001,0.0002,6.2303,0.0,200,0.0074,coordinator,200
6.283,0.0442,0.0431,0.0008,6.2372,0.0,200,0.0074,coordinator,200
6.283,0.0365,0.0001,0.0,6.2375,0.0,200,0.0074,coordinator,200
6.2833,0.0003,0.0,0.0001,6.2386,0.0,200,0.0075,coordinator,200
6.2834,0.0485,0.0,0.0002,6.2317,0.0,200,0.0074,coordinator,200
6.2854,0.0376,0.0352,0.0001,6.24,0.0,200,0.0074,coordinator,200
6.2874,0.0374,0.0,0.0001,6.2409,0.0,200,0.0074,coordinator,200
6.2877,0.0407,0.0405,0.0,6.2431,0.0,200,0.0074,coordinator,200
6.2901,0.0424,0.0079,0.0003,6.2469,0.0,200,0.0074,coordinator,200
6.3047,0.0441,0.0001,0.0002,6.251,0.0001,200,0.0075,coordinator,200
6.3126,0.0385,0.0003,0.0001,6.265,0.0001,200,0.0072,coordinator,200
6.3159,0.0375,0.0352,0.0001,6.2705,0.0,200,0.0074,coordinator,200
6.3194,0.0755,0.0707,0.0002,6.243,0.0,200,0.0074,coordinator,200
6.3249,0.0666,0.0001,0.0,6.2494,0.0,200,0.0074,coordinator,200
6.3267,0.0042,0.0003,0.0002,6.2507,0.0,200,0.0074,coordinator,200
6.3304,0.0733,0.0001,0.0001,6.2561,0.0,200,0.0074,coordinator,200
6.3304,0.0368,0.0,0.0001,6.2844,0.0,200,0.0074,coordinator,200
6.331,0.0049,0.0001,0.0001,6.2546,0.0001,200,0.0074,coordinator,200
6.3312,0.0608,0.0142,0.0001,6.2626,0.0,200,0.0074,coordinator,200
6.3313,0.0666,0.0,0.0002,6.2555,0.0,200,0.0074,coordinator,200
6.3328,0.0487,0.0,0.0002,6.2811,0.0,200,0.0074,coordinator,200
6.3342,0.0758,0.0706,0.0,6.2577,0.0001,200,0.0074,coordinator,200
6.3343,0.0464,0.0,0.0002,6.2834,0.0,200,0.0074,coordinator,200
6.3357,0.0467,0.0,0.0003,6.2848,0.0,200,0.0071,coordinator,200
6.3356,0.0469,0.0,0.0002,6.2844,0.0,200,0.0074,coordinator,200
6.3357,0.0668,0.0001,0.0003,6.2597,0.0,200,0.0074,coordinator,200
6.337,0.0681,0.0,0.0002,6.2598,0.0,200,0.0072,coordinator,200
6.3386,0.068,0.0001,0.0002,6.2614,0.0001,200,0.0072,coordinator,200
6.3383,0.0667,0.0,0.0003,6.2626,0.0,200,0.0075,coordinator,200
6.3391,0.0381,0.0,0.0002,6.2918,0.0,200,0.0074,coordinator,200
6.3402,0.035,0.0,0.01,6.2903,0.0,200,0.0071,coordinator,200
6.3401,0.0048,0.0001,0.0001,6.2638,0.0,200,0.0074,coordinator,200
6.3403,0.0608,0.0145,0.0002,6.2716,0.0,200,0.0074,coordinator,200
6.3404,0.0492,0.0,0.0,6.2869,0.0,200,0.0074,coordinator,200
6.3412,0.0045,0.0,0.0001,6.265,0.0,200,0.0074,coordinator,200
6.3415,0.004,0.0025,0.0001,6.2656,0.0,200,0.0075,coordinator,200
6.3416,0.0735,0.0001,0.0001,6.2673,0.0,200,0.0074,coordinator,200
6.3423,0.0299,0.0126,0.0002,6.2742,0.0,200,0.0074,coordinator,200
6.3424,0.0602,0.0597,0.0002,6.2745,0.0,200,0.0074,coordinator,200
6.3425,0.0326,0.0324,0.0312,6.2712,0.0,200,0.0074,coordinator,200
6.3425,0.0446,0.0001,0.0001,6.2884,0.0,200,0.0075,coordinator,200
6.3434,0.0501,0.0,0.0003,6.2907,0.0,200,0.0074,coordinator,200
6.3446,0.0669,0.0002,0.0003,6.2683,0.0,200,0.0072,coordinator,200
6.3451,0.0641,0.0498,0.0002,6.2737,0.0,200,0.0074,coordinator,200
6.3465,0.0323,0.0012,0.0271,6.2795,0.0,200,0.0074,coordinator,200
6.3466,0.0053,0.0002,0.0001,6.2701,0.0,200,0.0074,coordinator,200
6.3467,0.0703,0.0,0.0,6.2748,0.0,200,0.0074,coordinator,200
6.3475,0.0455,0.0,0.0002,6.2971,0.0,200,0.0071,coordinator,200
6.3473,0.0368,0.0,0.0002,6.3012,0.0,200,0.0074,coordinator,200
6.3475,0.0295,0.0126,0.0002,6.2796,0.0,200,0.0074,coordinator,200
6.3516,0.0365,0.0002,0.0001,6.306,0.0,200,0.0074,coordinator,200
6.3517,0.0527,0.0078,0.0001,6.2981,0.0,200,0.0074,coordinator,200
6.3518,0.0475,0.0,0.0003,6.3021,0.0,200,0.0074,coordinator,200
6.3518,0.0292,0.0127,0.0002,6.284,0.0,200,0.0074,coordinator,200
6.3521,0.0161,0.0,0.0001,6.2982,0.0,200,0.0072,coordinator,200
6.3529,0.0392,0.0077,0.0151,6.2982,0.0,200,0.0074,coordinator,200
6.3534,0.0367,0.0349,0.0275,6.286,0.0,200,0.0074,coordinator,200
6.354,0.05,0.0035,0.0002,6.3027,0.0,200,0.0074,coordinator,200
6.3544,0.0484,0.0,0.0002,6.3025,0.0,200,0.0074,coordinator,200
6.3549,0.0679,0.0598,0.0,6.2794,0.0,200,0.0074,coordinator,200
6.355,0.0669,0.0,0.0003,6.279,0.0,200,0.0074,coordinator,200
6.355,0.0674,0.0,0.0009,6.278,0.0,200,0.0074,coordinator,200
6.3551,0.0472,0.0,0.0003,6.3038,0.0,200,0.0074,coordinator,200
6.3551,0.0051,0.0001,0.0001,6.2787,0.0,200,0.0074,coordinator,200
6.3552,0.0053,0.0001,0.0001,6.2787,0.0,200,0.0074,coordinator,200
6.3553,0.029,0.0127,0.0002,6.2876,0.0,200,0.0074,coordinator,200
6.3555,0.0374,0.0351,0.0001,6.3101,0.0,200,0.0074,coordinator,200
6.3554,0.0668,0.0,0.0015,6.2784,0.0,200,0.0074,coordinator,200
6.3557,0.0026,0.0001,0.0002,6.2841,0.0,200,0.0073,coordinator,200
6.3558,0.0311,0.0176,0.0001,6.2868,0.0,200,0.0072,coordinator,200
6.3556,0.0447,0.0,0.0001,6.3015,0.0,200,0.0075,coordinator,200
6.3558,0.0035,0.0001,0.0001,6.284,0.0,200,0.0072,coordinator,200
6.3557,0.0475,0.0001,0.0003,6.306,0.0,200,0.0074,coordinator,200
6.3557,0.0546,0.0077,0.0019,6.2989,0.0,200,0.0074,coordinator,200
6.3557,0.0033,0.0001,0.0001,6.2841,0.0,200,0.0074,coordinator,200
6.3558,0.0643,0.0598,0.0022,6.2816,0.0,200,0.0074,coordinator,200
6.356,0.0669,0.0,0.0004,6.2797,0.0,200,0.0073,coordinator,200
6.3559,0.0619,0.06,0.0001,6.287,0.0,200,0.0074,coordinator,200
6.3558,0.0017,0.0001,0.0002,6.2799,0.0,200,0.0075,coordinator,200
6.3559,0.0639,0.0597,0.0,6.284,0.0,200,0.0074,coordinator,200
6.3559,0.0475,0.0001,0.0003,6.3045,0.0,200,0.0074,coordinator,200
6.3559,0.0047,0.0,0.0001,6.2797,0.0,200,0.0074,coordinator,200
6.3564,0.0668,0.0002,0.0003,6.2805,0.0,200,0.0074,coordinator,200
6.3564,0.016,0.0144,0.0001,6.2878,0.0,200,0.0074,coordinator,200
6.3565,0.0688,0.0,0.0002,6.2795,0.0001,200,0.0074,coordinator,200
6.3565,0.0606,0.0597,0.0002,6.2884,0.0,200,0.0074,coordinator,200
6.3566,0.0368,0.0079,0.0118,6.3074,0.0,200,0.0074,coordinator,200
6.3566,0.061,0.0598,0.0001,6.2882,0.0,200,0.0074,coordinator,200
6.3566,0.0048,0.0001,0.0001,6.3116,0.0,200,0.0074,coordinator,200
6.3567,0.0502,0.0,0.0003,6.304,0.0,200,0.0074,coordinator,200
6.3567,0.049,0.003,0.0002,6.3058,0.0,200,0.0074,coordinator,200
6.3567,0.0443,0.0,0.0001,6.3028,0.0,200,0.0075,coordinator,200
6.3567,0.004,0.0,0.0004,6.2806,0.0,200,0.0075,coordinator,200
6.3569,0.0304,0.0126,0.0001,6.2885,0.0,200,0.0074,coordinator,200
6.3568,0.0704,0.0001,0.0022,6.2827,0.0,200,0.0074,coordinator,200
6.3569,0.0701,0.0,0.0,6.285,0.0,200,0.0074,coordinator,200
6.3569,0.0402,0.0001,0.0004,6.3072,0.0,200,0.0075,coordinator,200
6.357,0.0372,0.0351,0.0001,6.3118,0.0,200,0.0074,coordinator,200
6.3571,0.0607,0.0598,0.0002,6.2888,0.0,200,0.0074,coordinator,200
6.3573,0.0439,0.0,0.0001,6.3041,0.0,200,0.0074,coordinator,200
6.3573,0.0357,0.0344,0.0275,6.29,0.0,200,0.0074,coordinator,200
6.3573,0.0443,0.0,0.0002,6.3034,0.0,200,0.0075,coordinator,200
6.3574,0.0382,0.036,0.0283,6.2892,0.0,200,0.0074,coordinator,200
6.3574,0.0381,0.0001,0.0,6.31,0.0,200,0.0075,coordinator,200
6.3575,0.0488,0.0035,0.0002,6.3074,0.0,200,0.0074,coordinator,200
6.3575,0.0381,0.0001,0.0001,6.3103,0.0,200,0.0074,coordinator,200
6.3578,0.0446,0.0,0.0004,6.3076,0.0,200,0.0072,coordinator,200
6.358,0.0377,0.0356,0.0274,6.2907,0.0,200,0.0074,coordinator,200
6.3581,0.0497,0.0,0.0003,6.3057,0.0,200,0.0074,coordinator,200
6.3581,0.0491,0.0001,0.0002,6.306,0.0,200,0.0074,coordinator,200
6.3582,0.0367,0.0001,0.0,6.3125,0.0,200,0.0074,coordinator,200
6.3653,0.003,0.0001,0.0002,6.2935,0.0,200,0.0073,coordinator,200
6.3653,0.0394,0.0078,0.0163,6.3092,0.0,200,0.0074,coordinator,200
6.3653,0.0377,0.0027,0.0151,6.3105,0.0,200,0.0074,coordinator,200
6.3654,0.0461,0.0001,0.0002,6.3149,0.0,200,0.0074,coordinator,200
6.3654,0.0735,0.0001,0.0008,6.2903,0.0,200,0.0074,coordinator,200
6.3658,0.064,0.0621,0.0001,6.2944,0.0,200,0.0074,coordinator,200
6.3661,0.0627,0.0001,0.0001,6.2943,0.0,200,0.0072,coordinator,200
6.3659,0.0055,0.0001,0.0,6.2894,0.0,200,0.0074,coordinator,200
6.366,0.0669,0.0003,0.0003,6.29,0.0,200,0.0074,coordinator,200
6.366,0.068,0.0,0.0002,6.2891,0.0,200,0.0074,coordinator,200
6.3668,0.0667,0.0,0.0003,6.2906,0.0,200,0.0072,coordinator,200
6.3669,0.0459,0.0,0.0001,6.3162,0.0,200,0.0071,coordinator,200
6.3667,0.0669,0.008,0.0,6.2993,0.0,200,0.0074,coordinator,200
6.3668,0.0696,0.0598,0.0,6.2896,0.0,200,0.0074,coordinator,200
6.3668,0.0637,0.0597,0.0001,6.295,0.0,200,0.0074,coordinator,200
6.3669,0.0641,0.064,0.0,6.2957,0.0,200,0.0074,coordinator,200
6.3671,0.0589,0.0125,0.0002,6.2992,0.0,200,0.0072,coordinator,200
6.3672,0.0684,0.0001,0.0,6.2898,0.0,200,0.0072,coordinator,200
6.3674,0.0754,0.0743,0.0,6.2908,0.0,200,0.0074,coordinator,200
6.3678,0.004,0.0025,0.0002,6.2919,0.0,200,0.0075,coordinator,200
6.368,0.0074,0.0001,0.0001,6.2915,0.0,200,0.0073,coordinator,200
6.3682,0.0478,0.0001,0.0003,6.3167,0.0,200,0.0074,coordinator,200
6.3709,0.064,0.0597,0.0022,6.2968,0.0,200,0.0074,coordinator,200
6.371,0.0671,0.0001,0.0001,6.2951,0.0,200,0.0074,coordinator,200
6.3722,0.0444,0.0001,0.0002,6.3182,0.0,200,0.0075,coordinator,200
6.3724,0.0729,0.0001,0.0001,6.2981,0.0,200,0.0074,coordinator,200
6.3724,0.0294,0.0126,0.0002,6.3045,0.0,200,0.0074,coordinator,200
6.3724,0.0386,0.0,0.0,6.3251,0.0,200,0.0074,coordinator,200
6.3724,0.0489,0.0001,0.0002,6.3203,0.0,200,0.0074,coordinator,200
6.3741,0.0388,0.0357,0.0283,6.3058,0.0,200,0.0074,coordinator,200
6.3741,0.0529,0.008,0.0,6.3206,0.0,200,0.0074,coordinator,200
6.3744,0.0458,0.0,0.0003,6.3234,0.0,200,0.0071,coordinator,200
6.3742,0.0728,0.0,0.0001,6.3001,0.0,200,0.0074,coordinator,200
6.3743,0.0489,0.0,0.0001,6.3224,0.0,200,0.0074,coordinator,200
6.3743,0.0436,0.0001,0.0021,6.3194,0.0,200,0.0074,coordinator,200
6.3743,0.0467,0.0,0.0002,6.3234,0.0,200,0.0074,coordinator,200
6.3743,0.0368,0.0001,0.0001,6.3283,0.0,200,0.0074,coordinator,200
6.3744,0.0495,0.0033,0.0002,6.3234,0.0,200,0.0074,coordinator,200
6.3744,0.0478,0.0024,0.0001,6.3241,0.0,200,0.0074,coordinator,200
6.3745,0.0486,0.0,0.0002,6.3225,0.0,200,0.0074,coordinator,200
6.3748,0.0349,0.0,0.0104,6.3245,0.0,200,0.0072,coordinator,200
6.3745,0.0449,0.0001,0.0,6.3202,0.0,200,0.0075,coordinator,200
6.3746,0.03,0.0126,0.0002,6.3064,0.0,200,0.0074,coordinator,200
6.3745,0.0447,0.0001,0.0001,6.3204,0.0,200,0.0075,coordinator,200
6.3746,0.0605,0.0597,0.0001,6.3066,0.0,200,0.0074,coordinator,200
6.3746,0.0382,0.0001,0.0055,6.3217,0.0,200,0.0075,coordinator,200
6.3747,0.0441,0.0,0.0001,6.3214,0.0,200,0.0074,coordinator,200
6.3747,0.0395,0.0036,0.0068,6.3252,0.0,200,0.0074,coordinator,200
6.3748,0.0352,0.0352,0.0312,6.3035,0.0,200,0.0074,coordinator,200
6.3749,0.0368,0.0008,0.0,6.3289,0.0001,200,0.0074,coordinator,200
6.3749,0.0358,0.0342,0.0273,6.3077,0.0,200,0.0074,coordinator,200
6.375,0.0473,0.002,0.0002,6.3247,0.0,200,0.0074,coordinator,200
6.3751,0.0729,0.0001,0.0001,6.3006,0.0,200,0.0074,coordinator,200
6.3751,0.0705,0.0,0.0022,6.301,0.0,200,0.0074,coordinator,200
6.3751,0.044,0.0,0.0001,6.3219,0.0,200,0.0074,coordinator,200
6.3751,0.0386,0.0361,0.0276,6.3075,0.0,200,0.0074,coordinator,200
6.3751,0.0372,0.0001,0.0001,6.3287,0.0001,200,0.0074,coordinator,200
6.3752,0.0374,0.0,0.0001,6.3288,0.0,200,0.0074,coordinator,200
6.3759,0.0643,0.0492,0.0001,6.3043,0.0,200,0.0072,coordinator,200
6.376,0.0478,0.0001,0.0002,6.3241,0.0,200,0.0071,coordinator,200
6.376,0.0039,0.0001,0.0001,6.3043,0.0,200,0.0074,coordinator,200
6.3799,0.0495,0.0,0.0002,6.3277,0.0,200,0.0074,coordinator,200
6.3802,0.0371,0.0001,0.0001,6.3339,0.0,200,0.0074,coordinator,200
6.3805,0.0603,0.0119,0.0,6.3114,0.0,200,0.0072,coordinator,200
6.3803,0.0371,0.0,0.0001,6.334,0.0,200,0.0074,coordinator,200
6.3813,0.0731,0.0001,0.0001,6.307,0.0,200,0.0074,coordinator,200
6.3814,0.0363,0.0,0.0272,6.3143,0.0,200,0.0074,coordinator,200
6.3814,0.0509,0.0,0.0002,6.3286,0.0,200,0.0074,coordinator,200
6.3815,0.0368,0.0001,0.0002,6.3354,0.0,200,0.0074,coordinator,200
6.3816,0.005,0.0041,0.0,6.305,0.0,200,0.0074,coordinator,200
6.3816,0.0668,0.0,0.0001,6.3055,0.0,200,0.0074,coordinator,200
6.3817,0.045,0.0007,0.0,6.3274,0.0,200,0.0074,coordinator,200
6.3819,0.0611,0.0126,0.0001,6.3134,0.0,200,0.0074,coordinator,200
6.382,0.044,0.0001,0.0,6.3286,0.0,200,0.0075,coordinator,200
6.3861,0.0476,0.0,0.0002,6.3361,0.0,200,0.0074,coordinator,200
6.3962,0.0005,0.0001,0.001,6.3505,0.0001,200,0.0074,coordinator,200
6.3963,0.0352,0.0,0.0106,6.346,0.0,200,0.0074,coordinator,200
6.5686,0.064,0.0501,0.0021,6.4973,0.0,200,0.0071,coordinator,200
6.5834,0.0419,0.0,0.0003,6.5321,0.0001,200,0.0075,coordinator,200
6.5868,0.0437,0.0,0.0001,6.5337,0.0001,200,0.0074,coordinator,200
6.591,0.0473,0.0001,0.0004,6.5411,0.0,200,0.0074,coordinator,200
6.8226,0.0497,0.0,0.0002,6.7702,0.0001,200,0.0074,coordinator,200
7.7671,0.0306,0.0126,0.0002,7.6985,0.0001,200,0.0074,coordinator,200
6.218,0.0,0.0,0.0,6.2179,0.0001,200,6.2829,coordinator,200
6.2252,0.0,0.0,0.0,6.2251,0.0001,200,6.2814,coordinator,200
6.2286,0.0,0.0,0.0,6.2284,0.0001,200,6.2908,coordinator,200
6.2254,0.0,0.0,0.0,6.2253,0.0,200,6.2951,coordinator,200
6.2459,0.0,0.0,0.0,6.2458,0.0001,200,6.2774,coordinator,200
6.2306,0.0,0.0,0.0,6.2306,0.0,200,6.2929,coordinator,200
6.2336,0.0,0.0,0.0,6.2335,0.0001,200,6.2948,coordinator,200
6.2441,0.0,0.0,0.0,6.244,0.0,200,6.2905,coordinator,200
6.2371,0.0,0.0,0.0,6.237,0.0,200,6.2976,coordinator,200
6.2555,0.0,0.0,0.0,6.2554,0.0,200,6.281,coordinator,200
6.2464,0.0,0.0,0.0,6.2463,0.0,200,6.2904,coordinator,200
6.2603,0.0,0.0,0.0,6.2602,0.0,200,6.2813,coordinator,200
6.2164,0.0,0.0,0.0,6.2163,0.0,200,6.3268,coordinator,200
6.2665,0.0,0.0,0.0,6.2662,0.0002,200,6.2781,coordinator,200
6.2279,0.0,0.0,0.0,6.2278,0.0,200,6.3197,coordinator,200
6.2594,0.0,0.0,0.0,6.2593,0.0,200,6.2908,coordinator,200
6.1759,0.0,0.0,0.0,6.1759,0.0,200,6.3742,coordinator,200
6.212,0.0,0.0,0.0,6.2119,0.0,200,6.3429,coordinator,200
6.2836,0.0,0.0,0.0,6.2835,0.0,200,6.2727,coordinator,200
6.2292,0.0,0.0,0.0,6.2291,0.0,200,6.3342,coordinator,200
6.2287,0.0,0.0,0.0,6.2286,0.0,200,6.3378,coordinator,200
6.2115,0.0,0.0,0.0,6.2114,0.0001,200,6.3592,coordinator,200
6.2354,0.0,0.0,0.0,6.2353,0.0,200,6.3378,coordinator,200
6.2254,0.0,0.0,0.0,6.2253,0.0,200,6.3487,coordinator,200
6.1945,0.0,0.0,0.0,6.1945,0.0,200,6.382,coordinator,200
6.2224,0.0,0.0,0.0,6.2223,0.0,200,6.3549,coordinator,200
6.2135,0.0,0.0,0.0,6.2134,0.0,200,6.364,coordinator,200
6.2366,0.0,0.0,0.0,6.2365,0.0,200,6.3416,coordinator,200
6.2287,0.0,0.0,0.0,6.2286,0.0,200,6.3518,coordinator,200
6.2331,0.0,0.0,0.0,6.233,0.0,200,6.3476,coordinator,200
6.2338,0.0,0.0,0.0,6.2337,0.0,200,6.3478,coordinator,200
6.2359,0.0,0.0,0.0,6.2358,0.0,200,6.3458,coordinator,200
6.2187,0.0,0.0,0.0,6.2186,0.0,200,6.3632,coordinator,200
6.2396,0.0,0.0,0.0,6.2395,0.0,200,6.343,coordinator,200
6.2446,0.0,0.0,0.0,6.2446,0.0,200,6.3386,coordinator,200
