response_time,dns_dialup,DNS,request_write,response_delay,response_read,status_code,offset,composition,rps
11.1037,0.0011,0.0009,0.0001,11.1024,0.0001,200,0.0057,message_queue,200
11.1104,0.0015,0.0013,0.0001,11.1086,0.0001,200,0.0052,message_queue,200
11.1127,0.0037,0.0035,0.0,11.1089,0.0001,200,0.0092,message_queue,200
11.1146,0.0051,0.0022,0.0002,11.1092,0.0,200,0.0087,message_queue,200
11.1171,0.0029,0.0002,0.0001,11.114,0.0,200,0.0073,message_queue,200
11.1222,0.0036,0.0001,0.0,11.1185,0.0,200,0.0071,message_queue,200
11.1204,0.004,0.0033,0.0002,11.1162,0.0,200,0.0091,message_queue,200
11.1272,0.0015,0.0001,0.0009,11.1246,0.0001,200,0.0078,message_queue,200
11.1298,0.0033,0.0,0.0,11.1264,0.0,200,0.0072,message_queue,200
11.1323,0.0016,0.0001,0.0009,11.1298,0.0,200,0.0077,message_queue,200
11.1663,0.0049,0.0022,0.0001,11.1612,0.0001,200,0.0087,message_queue,200
11.1454,0.0168,0.013,0.0,11.1285,0.0,200,0.0297,message_queue,200
11.1582,0.0149,0.0001,0.0004,11.1429,0.0,200,0.0172,message_queue,200
11.1622,0.0179,0.0001,0.0002,11.144,0.0001,200,0.0152,message_queue,200
11.1744,0.0048,0.0021,0.0001,11.1694,0.0,200,0.0088,message_queue,200
11.1694,0.0173,0.0001,0.0001,11.1519,0.0001,200,0.0156,message_queue,200
11.1849,0.0042,0.0033,0.0001,11.1804,0.0001,200,0.009,message_queue,200
11.1771,0.0149,0.0001,0.0001,11.1621,0.0,200,0.0187,message_queue,200
11.1931,0.0053,0.0022,0.0001,11.1876,0.0,200,0.0086,message_queue,200
11.1934,0.0044,0.0033,0.0001,11.1883,0.0006,200,0.009,message_queue,200
11.1998,0.003,0.0,0.0001,11.1966,0.0,200,0.0073,message_queue,200
11.1988,0.0006,0.0001,0.0001,11.198,0.0,200,0.0084,message_queue,200
11.1934,0.0186,0.0001,0.0,11.1746,0.0,200,0.0147,message_queue,200
11.1906,0.0233,0.0096,0.0002,11.167,0.0,200,0.0184,message_queue,200
11.1919,0.0141,0.0001,0.0002,11.1775,0.0,200,0.0179,message_queue,200
11.2041,0.001,0.0001,0.0,11.2031,0.0,200,0.0058,message_queue,200
11.203,0.0163,0.0,0.0002,11.1864,0.0,200,0.0163,message_queue,200
11.2043,0.0158,0.0001,0.0001,11.1882,0.0,200,0.0168,message_queue,200
11.2194,0.0226,0.0197,0.0001,11.1878,0.0001,200,0.0102,message_queue,200
11.2009,0.0162,0.0128,0.0001,11.1845,0.0,200,0.03,message_queue,200
11.2104,0.0188,0.0155,0.0001,11.1914,0.0,200,0.0225,message_queue,200
11.2324,0.0623,0.0599,0.0001,11.1699,0.0001,200,0.0069,message_queue,200
11.2091,0.0154,0.0125,0.0002,11.1932,0.0001,200,0.0304,message_queue,200
11.2333,0.0055,0.0021,0.0002,11.2272,0.0001,200,0.0077,message_queue,200
11.208,0.0329,0.0307,0.0001,11.175,0.0,200,0.0364,message_queue,200
11.2162,0.0161,0.0127,0.0,11.1999,0.0,200,0.0301,message_queue,200
11.2161,0.0376,0.0374,0.0001,11.1784,0.0,200,0.0333,message_queue,200
11.2137,0.0305,0.0302,0.0002,11.1829,0.0,200,0.0375,message_queue,200
11.2433,0.0013,0.0001,0.0001,11.2417,0.0001,200,0.0079,message_queue,200
11.2441,0.0011,0.0001,0.0001,11.2428,0.0,200,0.0081,message_queue,200
11.2468,0.0625,0.0622,0.0,11.1841,0.0001,200,0.0077,message_queue,200
