response_time,dns_dialup,DNS,request_write,response_delay,response_read,status_code,offset,composition,rps
11.1182,0.0034,0.001,0.0014,11.1133,0.0001,200,0.0052,routing_slip,200
11.127,0.0033,0.001,0.0013,11.1223,0.0001,200,0.0053,routing_slip,200
11.1363,0.0004,0.0001,0.0,11.1358,0.0001,200,0.0128,routing_slip,200
11.1681,0.0027,0.0008,0.0005,11.1646,0.0001,200,0.0053,routing_slip,200
11.1684,0.0388,0.0376,0.0003,11.1293,0.0,200,0.0058,routing_slip,200
11.1693,0.0026,0.0008,0.0004,11.1661,0.0,200,0.0056,routing_slip,200
11.1721,0.0001,0.0,0.0001,11.1702,0.0,200,0.0053,routing_slip,200
11.1723,0.003,0.0009,0.0004,11.1688,0.0,200,0.0054,routing_slip,200
11.1744,0.0037,0.001,0.0002,11.1704,0.0,200,0.0051,routing_slip,200
11.1746,0.0028,0.0008,0.0005,11.1712,0.0,200,0.0056,routing_slip,200
11.1752,0.0038,0.001,0.0002,11.1711,0.0,200,0.005,routing_slip,200
11.1762,0.0015,0.001,0.0006,11.1736,0.0001,200,0.0053,routing_slip,200
11.1774,0.0017,0.0001,0.0004,11.1739,0.0001,200,0.0053,routing_slip,200
11.1691,0.0301,0.0297,0.0001,11.1388,0.0,200,0.0149,routing_slip,200
11.1779,0.0008,0.0001,0.0007,11.1764,0.0,200,0.0065,routing_slip,200
11.1769,0.0314,0.0001,0.0,11.1454,0.0001,200,0.0162,routing_slip,200
11.1904,0.0058,0.0014,0.0004,11.1838,0.0001,200,0.0043,routing_slip,200
11.1901,0.003,0.0009,0.0002,11.1868,0.0,200,0.0054,routing_slip,200
11.1947,0.0031,0.0009,0.0004,11.1911,0.0001,200,0.0053,routing_slip,200
11.1994,0.0015,0.001,0.0006,11.1971,0.0,200,0.0057,routing_slip,200
11.2035,0.0045,0.0001,0.0001,11.1989,0.0,200,0.0069,routing_slip,200
11.2042,0.0315,0.0301,0.0001,11.1726,0.0001,200,0.0141,routing_slip,200
11.214,0.0035,0.0,0.0036,11.2065,0.0004,200,0.0059,routing_slip,200
11.2245,0.0029,0.0001,0.0003,11.2212,0.0001,200,0.006,routing_slip,200
11.2257,0.0016,0.0009,0.0009,11.2228,0.0,200,0.0053,routing_slip,200
11.227,0.0057,0.0001,0.0001,11.2212,0.0,200,0.0056,routing_slip,200
11.2283,0.0003,0.0,0.0001,11.2263,0.0001,200,0.0053,routing_slip,200
11.2283,0.0026,0.001,0.0004,11.2253,0.0,200,0.0056,routing_slip,200
11.2286,0.0015,0.001,0.0007,11.2263,0.0001,200,0.0057,routing_slip,200
11.2372,0.0019,0.0001,0.0004,11.2348,0.0,200,0.0063,routing_slip,200
11.2382,0.0032,0.0001,0.0001,11.2322,0.0,200,0.0053,routing_slip,200
11.2309,0.0007,0.0,0.0003,11.2299,0.0,200,0.0126,routing_slip,200
11.2287,0.0302,0.0298,0.0002,11.1981,0.0,200,0.015,routing_slip,200
11.2308,0.0316,0.0308,0.0,11.1991,0.0,200,0.0129,routing_slip,200
11.2394,0.0058,0.0014,0.0004,11.2327,0.0003,200,0.0043,routing_slip,200
11.249,0.0016,0.0009,0.0008,11.2461,0.0,200,0.0053,routing_slip,200
11.2447,0.0005,0.0001,0.0,11.2441,0.0,200,0.0111,routing_slip,200
11.2499,0.0023,0.0001,0.0012,11.2463,0.0,200,0.0063,routing_slip,200
11.2494,0.0315,0.0078,0.0001,11.2178,0.0,200,0.0125,routing_slip,200
11.2483,0.032,0.0,0.0001,11.2161,0.0,200,0.0158,routing_slip,200
11.2484,0.0317,0.0,0.0001,11.2166,0.0001,200,0.0161,routing_slip,200
11.2526,0.0008,0.0,0.0003,11.2515,0.0,200,0.0126,routing_slip,200
11.2524,0.0323,0.0303,0.0002,11.2198,0.0,200,0.0137,routing_slip,200
11.2536,0.0309,0.0306,0.0002,11.2225,0.0,200,0.0132,routing_slip,200
11.2642,0.0045,0.0012,0.0001,11.2595,0.0,200,0.0049,routing_slip,200
11.2634,0.0574,0.0248,0.0001,11.2058,0.0001,200,0.0179,routing_slip,200
11.2696,0.0041,0.0001,0.0305,11.2349,0.0,200,0.0119,routing_slip,200
11.2682,0.0327,0.0307,0.0001,11.2353,0.0,200,0.0143,routing_slip,200
11.2685,0.032,0.0299,0.0002,11.2362,0.0001,200,0.0146,routing_slip,200
11.2718,0.0008,0.0,0.0003,11.2706,0.0,200,0.0125,routing_slip,200
11.2794,0.0017,0.001,0.0011,11.2763,0.0,200,0.0053,routing_slip,200
11.2684,0.0561,0.0241,0.0001,11.2122,0.0,200,0.0164,routing_slip,200
11.2745,0.0014,0.0001,0.0001,11.273,0.0,200,0.0123,routing_slip,200
11.2768,0.0005,0.0,0.0003,11.276,0.0,200,0.0127,routing_slip,200
11.2745,0.0315,0.0,0.0001,11.2428,0.0,200,0.0161,routing_slip,200
11.2741,0.059,0.0258,0.0,11.2151,0.0,200,0.017,routing_slip,200
11.2756,0.0562,0.0236,0.0001,11.2193,0.0,200,0.0157,routing_slip,200
11.2752,0.0315,0.0,0.0001,11.2437,0.0,200,0.0162,routing_slip,200
11.2758,0.0369,0.0,0.0001,11.2388,0.0,200,0.0157,routing_slip,200
11.2725,0.0264,0.0251,0.0001,11.2459,0.0,200,0.0201,routing_slip,200
11.289,0.0047,0.0013,0.0037,11.2805,0.0,200,0.0047,routing_slip,200
11.2808,0.0323,0.0304,0.0001,11.2483,0.0,200,0.0135,routing_slip,200
11.2772,0.0565,0.0246,0.0,11.2204,0.0,200,0.0173,routing_slip,200
11.2817,0.0317,0.0308,0.0,11.2499,0.0,200,0.0128,routing_slip,200
11.2769,0.0542,0.0226,0.0001,11.2227,0.0,200,0.0177,routing_slip,200
11.2797,0.0289,0.0001,0.0002,11.2506,0.0,200,0.0152,routing_slip,200
11.2822,0.0313,0.0298,0.0002,11.2502,0.0,200,0.0133,routing_slip,200
11.2823,0.0322,0.0299,0.0003,11.2498,0.0,200,0.0145,routing_slip,200
11.2915,0.0048,0.0,0.0005,11.2857,0.0,200,0.0053,routing_slip,200
11.2834,0.0574,0.0236,0.0001,11.2258,0.0,200,0.0163,routing_slip,200
11.2818,0.0567,0.0244,0.0001,11.225,0.0,200,0.0185,routing_slip,200
11.2898,0.0317,0.0295,0.0,11.2578,0.0,200,0.0152,routing_slip,200
11.3005,0.0045,0.0011,0.0036,11.2923,0.0,200,0.0049,routing_slip,200
11.2999,0.0045,0.0001,0.0,11.2953,0.0,200,0.0072,routing_slip,200
11.2904,0.0566,0.0247,0.0001,11.2337,0.0,200,0.0172,routing_slip,200
11.2945,0.0299,0.0298,0.0,11.2644,0.0,200,0.015,routing_slip,200
11.2949,0.0319,0.0298,0.0002,11.2628,0.0,200,0.0147,routing_slip,200
11.2957,0.0316,0.0301,0.0001,11.2639,0.0,200,0.0139,routing_slip,200
11.2915,0.0573,0.0243,0.0,11.2341,0.0,200,0.0184,routing_slip,200
11.2991,0.0003,0.0001,0.0,11.2987,0.0,200,0.0113,routing_slip,200
11.3072,0.0039,0.001,0.0003,11.3029,0.0,200,0.005,routing_slip,200
11.2938,0.0568,0.0244,0.0003,11.2367,0.0,200,0.0185,routing_slip,200
11.2961,0.0573,0.0249,0.0001,11.2387,0.0,200,0.018,routing_slip,200
11.3193,0.0309,0.0307,0.0002,11.2882,0.0001,200,0.0132,routing_slip,200
11.3179,0.0302,0.0298,0.0002,11.2874,0.0,200,0.0148,routing_slip,200
11.3184,0.0312,0.03,0.0,11.2871,0.0,200,0.0143,routing_slip,200
11.3133,0.0562,0.025,0.0001,11.2568,0.0,200,0.0196,routing_slip,200
11.316,0.0558,0.0236,0.0,11.2601,0.0,200,0.0169,routing_slip,200
11.3148,0.0581,0.0249,0.0,11.2565,0.0,200,0.0182,routing_slip,200
11.3273,0.0382,0.014,0.0001,11.2889,0.0001,200,0.0058,routing_slip,200
11.3154,0.0576,0.0248,0.0001,11.2576,0.0001,200,0.0179,routing_slip,200
11.3191,0.0555,0.0214,0.0001,11.2635,0.0,200,0.0163,routing_slip,200
