response_time,dns_dialup,DNS,request_write,response_delay,response_read,status_code,offset,composition,rps
6.3562,0.0072,0.0053,0.0429,6.306,0.0001,200,0.0099,sequence,200
6.3581,0.0042,0.0001,0.0001,6.3536,0.0,200,0.0081,sequence,200
6.3583,0.008,0.0054,0.0433,6.3069,0.0,200,0.0094,sequence,200
6.3613,0.007,0.0053,0.0429,6.3114,0.0,200,0.01,sequence,200
6.3618,0.005,0.0034,0.0428,6.3138,0.0,200,0.0119,sequence,200
6.3675,0.0069,0.0053,0.0428,6.3177,0.0,200,0.0101,sequence,200
6.3659,0.0054,0.0034,0.0431,6.3175,0.0,200,0.0118,sequence,200
6.3684,0.0081,0.0054,0.0433,6.317,0.0,200,0.0093,sequence,200
6.3706,0.0078,0.0054,0.0432,6.3195,0.0001,200,0.0095,sequence,200
6.3719,0.0079,0.0055,0.0432,6.3206,0.0,200,0.0094,sequence,200
6.3736,0.0057,0.0053,0.0452,6.3226,0.0,200,0.0085,sequence,200
6.3751,0.005,0.0,0.0027,6.3668,0.0001,200,0.0076,sequence,200
6.3726,0.0302,0.0293,0.0294,6.3129,0.0001,200,0.0121,sequence,200
6.3762,0.0056,0.0054,0.0452,6.3254,0.0,200,0.0086,sequence,200
6.379,0.0084,0.0055,0.0433,6.3272,0.0,200,0.0091,sequence,200
6.3803,0.0056,0.0054,0.0453,6.3287,0.0,200,0.0081,sequence,200
6.3788,0.0065,0.0031,0.0441,6.3283,0.0,200,0.0114,sequence,200
6.3823,0.0085,0.0055,0.0435,6.3301,0.0001,200,0.0091,sequence,200
6.3836,0.0061,0.0054,0.0452,6.3322,0.0,200,0.0082,sequence,200
6.3841,0.0055,0.0054,0.0451,6.3334,0.0,200,0.0086,sequence,200
6.3807,0.0304,0.0294,0.0295,6.3207,0.0,200,0.0121,sequence,200
6.385,0.0092,0.0061,0.0438,6.3319,0.0,200,0.0085,sequence,200
6.3821,0.0055,0.0033,0.043,6.3335,0.0,200,0.0118,sequence,200
6.3869,0.0321,0.0312,0.0295,6.3252,0.0,200,0.0102,sequence,200
6.3873,0.0071,0.0053,0.0429,6.3372,0.0,200,0.0099,sequence,200
6.3875,0.0074,0.0054,0.043,6.337,0.0,200,0.0098,sequence,200
6.3805,0.0546,0.0117,0.0155,6.3102,0.0,200,0.0169,sequence,200
6.3886,0.0077,0.0055,0.0431,6.3377,0.0,200,0.0096,sequence,200
6.3853,0.0013,0.0006,0.0452,6.3386,0.0,200,0.0129,sequence,200
6.389,0.0064,0.0034,0.0429,6.3383,0.0,200,0.0092,sequence,200
6.3885,0.0318,0.0312,0.0293,6.3273,0.0,200,0.0105,sequence,200
6.3875,0.0061,0.0031,0.0437,6.3377,0.0,200,0.0116,sequence,200
6.3928,0.0056,0.0053,0.0452,6.3418,0.0,200,0.0087,sequence,200
6.3905,0.0062,0.0031,0.0438,6.3404,0.0,200,0.0115,sequence,200
6.3916,0.0306,0.0292,0.0297,6.3312,0.0,200,0.0121,sequence,200
6.3923,0.0056,0.0033,0.043,6.3436,0.0,200,0.0117,sequence,200
6.3944,0.0324,0.0313,0.0296,6.3323,0.0,200,0.0102,sequence,200
6.3923,0.031,0.0294,0.0347,6.3265,0.0,200,0.0124,sequence,200
6.3988,0.0107,0.0034,0.0429,6.345,0.0,200,0.0062,sequence,200
6.3953,0.0053,0.0034,0.043,6.347,0.0,200,0.0118,sequence,200
6.3938,0.0277,0.0274,0.0297,6.3355,0.0,200,0.0146,sequence,200
6.396,0.0314,0.0294,0.0368,6.3278,0.0,200,0.0124,sequence,200
6.4017,0.0358,0.0101,0.0296,6.3362,0.0,200,0.0068,sequence,200
6.4011,0.0513,0.0505,0.0251,6.3246,0.0,200,0.0074,sequence,200
6.4,0.0056,0.0053,0.0452,6.3492,0.0,200,0.0085,sequence,200
6.3962,0.0309,0.0298,0.0298,6.3354,0.0,200,0.0124,sequence,200
6.4012,0.0059,0.0052,0.0581,6.3371,0.0,200,0.0076,sequence,200
6.4027,0.0306,0.0291,0.0297,6.3365,0.0,200,0.0062,sequence,200
6.399,0.0321,0.0309,0.0348,6.3318,0.0002,200,0.0114,sequence,200
6.4018,0.0055,0.0053,0.0452,6.3511,0.0,200,0.0089,sequence,200
6.395,0.0282,0.0273,0.0375,6.3293,0.0,200,0.0158,sequence,200
6.4026,0.0058,0.0053,0.0452,6.3515,0.0,200,0.0084,sequence,200
6.3975,0.056,0.0201,0.0148,6.3266,0.0001,200,0.0135,sequence,200
6.4022,0.0054,0.0053,0.0452,6.3515,0.0,200,0.0089,sequence,200
6.4003,0.0307,0.0033,0.0298,6.3398,0.0,200,0.012,sequence,200
6.4036,0.0085,0.0055,0.0437,6.3509,0.0,200,0.0088,sequence,200
6.4044,0.006,0.0054,0.0452,6.3531,0.0,200,0.0083,sequence,200
6.4056,0.0519,0.0505,0.0251,6.3286,0.0,200,0.0071,sequence,200
6.3972,0.0528,0.0274,0.016,6.3284,0.0,200,0.0156,sequence,200
6.4058,0.0059,0.0053,0.0452,6.3546,0.0,200,0.0083,sequence,200
6.4026,0.0059,0.0031,0.0433,6.3534,0.0,200,0.0116,sequence,200
6.4046,0.0075,0.0054,0.043,6.354,0.0,200,0.0097,sequence,200
6.4042,0.0333,0.0052,0.0299,6.341,0.0,200,0.0101,sequence,200
6.4032,0.0064,0.0031,0.044,6.3527,0.0,200,0.0114,sequence,200
6.4043,0.0062,0.0031,0.0438,6.3543,0.0,200,0.0115,sequence,200
6.4046,0.0064,0.0031,0.044,6.3542,0.0,200,0.0114,sequence,200
6.4036,0.0304,0.0297,0.0299,6.343,0.0,200,0.0125,sequence,200
6.4077,0.0058,0.0053,0.0452,6.3567,0.0,200,0.0084,sequence,200
6.4051,0.0304,0.0292,0.0295,6.344,0.0,200,0.0111,sequence,200
6.4101,0.0061,0.0032,0.0435,6.3604,0.0,200,0.0115,sequence,200
6.4097,0.0307,0.029,0.0298,6.3492,0.0,200,0.012,sequence,200
6.4127,0.0083,0.0055,0.0433,6.361,0.0,200,0.0092,sequence,200
6.4098,0.0309,0.0299,0.0298,6.3488,0.0002,200,0.0124,sequence,200
6.4149,0.0515,0.0505,0.0251,6.3382,0.0,200,0.0074,sequence,200
6.4132,0.0081,0.0054,0.0433,6.3617,0.0,200,0.0093,sequence,200
6.4089,0.0562,0.0203,0.0166,6.336,0.0,200,0.0137,sequence,200
6.4104,0.0302,0.0293,0.0294,6.3506,0.0001,200,0.0122,sequence,200
6.4089,0.0577,0.011,0.0155,6.3358,0.0,200,0.0138,sequence,200
6.4103,0.0307,0.0299,0.0299,6.3497,0.0,200,0.0125,sequence,200
6.4113,0.0058,0.0031,0.0433,6.3622,0.0,200,0.0117,sequence,200
6.4113,0.0056,0.0031,0.0433,6.3624,0.0,200,0.0117,sequence,200
6.4169,0.0362,0.0292,0.0297,6.3507,0.0,200,0.0062,sequence,200
6.4104,0.0574,0.0202,0.0157,6.3373,0.0,200,0.0136,sequence,200
6.4141,0.0319,0.0312,0.0294,6.3527,0.0,200,0.0104,sequence,200
6.4091,0.0531,0.0447,0.0155,6.3404,0.0,200,0.0166,sequence,200
6.4141,0.0056,0.0033,0.0432,6.3652,0.0,200,0.0117,sequence,200
6.4156,0.032,0.0312,0.0294,6.3541,0.0,200,0.0104,sequence,200
6.4154,0.0325,0.0308,0.0366,6.3463,0.0,200,0.0112,sequence,200
6.4141,0.0303,0.0299,0.0298,6.3536,0.0,200,0.0126,sequence,200
6.4101,0.0533,0.0446,0.0155,6.3412,0.0,200,0.0166,sequence,200
6.4145,0.0309,0.0298,0.0299,6.3535,0.0,200,0.0123,sequence,200
6.4134,0.0576,0.0448,0.0157,6.3401,0.0,200,0.0134,sequence,200
