response_time,dns_dialup,DNS,request_write,response_delay,response_read,status_code,offset,composition,rps
13.2165,0.0103,0.0001,0.0003,13.2058,0.0001,200,0.0245,storage,200
13.2466,0.0139,0.0089,0.0001,13.2321,0.0003,200,0.0149,storage,200
13.2503,0.0166,0.0091,0.0001,13.2335,0.0001,200,0.0145,storage,200
13.2506,0.0168,0.0107,0.0013,13.2324,0.0001,200,0.0159,storage,200
13.2536,0.0177,0.0093,0.0,13.2359,0.0,200,0.0144,storage,200
13.2784,0.0221,0.0091,0.0,13.2562,0.0001,200,0.0153,storage,200
13.2808,0.0144,0.0092,0.0018,13.2645,0.0,200,0.0147,storage,200
13.2825,0.0168,0.0106,0.0013,13.2642,0.0,200,0.0159,storage,200
13.2886,0.0169,0.0106,0.0017,13.2699,0.0,200,0.0159,storage,200
13.2852,0.008,0.0001,0.0002,13.2769,0.0001,200,0.0264,storage,200
13.2995,0.0167,0.0107,0.0009,13.2817,0.0,200,0.016,storage,200
13.3013,0.014,0.0089,0.0001,13.2869,0.0001,200,0.0148,storage,200
13.3031,0.0146,0.0094,0.0003,13.288,0.0,200,0.0138,storage,200
13.3019,0.019,0.0092,0.0003,13.2825,0.0,200,0.0157,storage,200
13.3035,0.0626,0.0624,0.0,13.2409,0.0,200,0.0191,storage,200
13.3035,0.0103,0.0001,0.0007,13.2925,0.0,200,0.0249,storage,200
13.3132,0.019,0.0102,0.0003,13.2938,0.0,200,0.0156,storage,200
13.3167,0.0146,0.0093,0.0003,13.3016,0.0,200,0.0138,storage,200
13.3155,0.0135,0.009,0.0003,13.3016,0.0,200,0.0151,storage,200
13.3169,0.013,0.0092,0.0017,13.3019,0.0,200,0.0138,storage,200
13.3161,0.0223,0.0089,0.0,13.2937,0.0,200,0.0152,storage,200
13.3068,0.0109,0.0001,0.0005,13.2954,0.0,200,0.0247,storage,200
13.3279,0.0624,0.0623,0.0,13.265,0.0004,200,0.0166,storage,200
13.3297,0.0206,0.0092,0.0001,13.3089,0.0,200,0.0156,storage,200
13.3315,0.0169,0.0106,0.0015,13.313,0.0,200,0.0159,storage,200
13.3365,0.0139,0.0089,0.0001,13.3212,0.0,200,0.0139,storage,200
13.3387,0.02,0.0092,0.0005,13.3181,0.0,200,0.0156,storage,200
13.3298,0.012,0.0001,0.0001,13.3177,0.0,200,0.0245,storage,200
13.3391,0.0216,0.0092,0.0001,13.3174,0.0,200,0.0153,storage,200
13.339,0.0199,0.0092,0.0005,13.3185,0.0,200,0.0156,storage,200
13.3393,0.0181,0.0106,0.0467,13.2744,0.0,200,0.0159,storage,200
13.3413,0.0093,0.0092,0.0533,13.2786,0.0,200,0.0143,storage,200
13.3409,0.0219,0.0092,0.0002,13.3187,0.0,200,0.0152,storage,200
13.3394,0.0626,0.0619,0.0001,13.2761,0.0,200,0.0167,storage,200
13.3436,0.017,0.0093,0.0005,13.3261,0.0,200,0.0144,storage,200
13.3486,0.0208,0.0092,0.0002,13.3274,0.0,200,0.0154,storage,200
13.3486,0.0212,0.0092,0.0001,13.3272,0.0,200,0.0154,storage,200
13.359,0.0625,0.0618,0.0001,13.2963,0.0001,200,0.0173,storage,200
13.3608,0.0188,0.0103,0.0002,13.3415,0.0,200,0.0157,storage,200
13.3579,0.0384,0.0346,0.0001,13.3194,0.0,200,0.0192,storage,200
13.3572,0.0538,0.0533,0.0001,13.3032,0.0,200,0.0237,storage,200
13.3921,0.0126,0.0092,0.0001,13.3791,0.0001,200,0.0141,storage,200
13.3945,0.0623,0.062,0.0001,13.3319,0.0001,200,0.0174,storage,200
13.4002,0.0624,0.062,0.0001,13.3376,0.0001,200,0.0174,storage,200
